Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Status,Number of Articles,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Total Funding Amount,Number of Investors,Last Funding Type,Website,Number of Funding Rounds
PAX Streamline,https://www.crunchbase.com/organization/pax-streamline,"Science and Engineering, Energy","Novato, California, United States",PAX Streamline designs industrial equipment to reduce the amount of energy waste during the mechanical and productive processes.,"51,011",01/01/2008,Closed,2,"Industrial, Energy, Mechanical Engineering",,11-50,03/04/2008,"$6,000,000","$6,000,000",1,Series A,http://www.paxstreamline.com,1
Hollywood Interactive Group,https://www.crunchbase.com/organization/hollywood-interactive-group,"Media and Entertainment, Design","Los Angeles, California, United States",Hollywood Interactive Group is a privately held company that operates primarily through MyHollywood.,"51,259",01/01/2006,Closed,4,"Women's, Media and Entertainment, Fashion",1,,09/18/2008,"$5,000,000","$5,000,000",2,Series A,http://www.myhollywood.com,1
Stiki Digital,https://www.crunchbase.com/organization/stiki-digital,Commerce and Shopping,"Sunnyvale, California, United States",Stiki Digital enables companies to offer digital content as promotional gifts and point-of-sales rewards.,"51,627",03/01/2007,Closed,,Point of Sale,1,1-10,12/23/2008,"$225,000","$325,000",6,Series A,http://stiki.com,3
Fyreball,https://www.crunchbase.com/organization/fyreball,"Gaming, Information Technology, Internet Services, Messaging and Telecommunications","Bellevue, Washington, United States","Fyreball brings a gaming element to email, allowing users to track messages and discussions as they circulate around the web.","51,770",,Closed,4,"Gaming, Gamification, Messaging",1,,01/09/2008,"$1,100,000","$2,100,000",3,Series A,http://www.fyreball.com,2
Broadchoice,https://www.crunchbase.com/organization/broadchoice,"Information Technology, Software, Internet Services, Messaging and Telecommunications","San Mateo, California, United States",Broadchoice offers messaging and file sharing services to reduce meeting time and email traffic.,"52,744",11/01/2007,Closed,,"Messaging, Enterprise Software, File Sharing, Collaboration",1,11-50,01/01/2008,"$2,700,000","$2,700,000",,Series A,http://www.broadchoice.com,1
Texert,https://www.crunchbase.com/organization/texert,"Software, Professional Services","Dallas, Texas, United States","Texert provides governance, risk, and compliance solutions for corporate enterprise customers.","53,245",01/01/2007,Closed,,"Risk Management, Enterprise Software, Compliance",,,10/21/2008,"$3,000,000","$3,000,000",1,Series A,http://www.texertinc.com,1
GetBack,https://www.crunchbase.com/organization/getback,"Commerce and Shopping, Media and Entertainment","Los Angeles, California, United States",GetBack Media is a broadband entertainment community and pop culture marketplace that provides user interaction around media content.,"53,259",09/01/2007,Closed,1,"Digital Entertainment, Digital Media, Marketplace",,1-10,11/06/2008,"$1,700,000","$1,700,000",1,Series A,http://www.getback.com,1
Bar Harbor BioTechnology,https://www.crunchbase.com/organization/bar-harbor-biotechnology,"Biotechnology, Science and Engineering, Health Care","Trenton, New Jersey, United States",Bar Harbor BioTechnology develops molecular biology products and services for life science research and clinical medicine.,"53,486",01/01/2006,Closed,1,"Biotechnology, Medical Device, Pharmaceutical",,11-50,03/20/2015,"$180,000","$2,104,000",,Series A,http://www.bhbio.com,4
"Vitrum View, LLC",https://www.crunchbase.com/organization/vitrum-view--llc,Real Estate,"Peoria, Arizona, United States","Vitrum View, LLC is a platform of tools focused on real estate professionals.","53,660",01/01/2014,Closed,,Real Estate,2,,10/06/2014,"$1,000,000","$1,100,000",,Series A,http://www.vitrumview.com,2
What They Like,https://www.crunchbase.com/organization/what-they-like,"Gaming, Community and Lifestyle","San Francisco, California, United States",What They Like provides parents with a variety of media guides and resources for their children.,"54,204",08/29/2007,Closed,1,"Gaming, Parenting, Children",,251-500,09/14/2007,"$1,500,000","$1,500,000",2,Series A,http://www.whattheylike.com,1
Neopolitan Networks,https://www.crunchbase.com/organization/neopolitan-networks,"Hardware, Information Technology, Internet Services, Mobile","Palo Alto, California, United States","Neopolitan Networks provides robust networking solutions for small, medium, and large organizations.","54,471",01/01/2002,Closed,3,"Social Network, Wireless, Information Technology",,1-10,06/28/2007,"$3,170,000","$3,170,000",2,Series A,http://www.neopolitan.com,1
Local Marketers,https://www.crunchbase.com/organization/local-marketers,"Sales and Marketing, Advertising","Seattle, Washington, United States",Local Marketers provides advertising services to small and medium companies.,"54,891",01/01/2005,Closed,2,Advertising,,11-50,07/30/2008,"$4,099,999","$4,699,999",2,Series A,http://www.localmarketers.com,2
SepSensor,https://www.crunchbase.com/organization/sepspensor,"Hardware, Food and Beverage, Mobile","Marlborough, Massachusetts, United States",SepSensor offers grease interceptor monitoring systems for the food service industry.,"54,901",01/01/2003,Closed,,"Restaurants, Wireless",2,1-10,04/01/2012,,"$3,263,734",1,Series A,http://www.sepsensor.com,9
SV Solar,https://www.crunchbase.com/organization/sv-solar,"Natural Resources, Energy, Sustainability","Santa Clara, California, United States",SV Solar is a rapidly growing company and they look forward to establishing key relationships in solar industry.,"54,994",01/01/2007,Closed,,"Energy, Renewable Energy, Solar",,,06/19/2007,"$10,200,000","$10,200,000",1,Series A,http://sv-solar.com/,1
Aventa Technologies,https://www.crunchbase.com/organization/aventa-technologies,Manufacturing,"Danvers, Massachusetts, United States","Aventa Technologies manufactures thin film deposition and MOCVD equipment, as well as vacuum deposition tools.","55,315",01/01/2012,Closed,2,Manufacturing,,11-50,09/13/2012,"$1,000,000","$1,000,000",,Series A,http://www.aventatech.com,1
TwoF,https://www.crunchbase.com/organization/twof,"Biotechnology, Science and Engineering, Health Care","San Mateo, California, United States",TwoF manufactured custom-made DNA micro-arrays by utlizing user-specified content.,"55,820",11/01/2005,Closed,,"Medical Device, Biotechnology, Medical",,1-10,02/08/2010,"$2,148,399","$2,148,399",,Series A,http://www.molecularstamping.com,1
CS-Keys,https://www.crunchbase.com/organization/cs-keys,"Biotechnology, Science and Engineering","Indianapolis, Indiana, United States",CS-Keys is a biotechnology company discovers and develops cancer-associated biomarkers using proteomics.,"55,917",01/01/2006,Closed,,Biotechnology,,1-10,01/25/2008,"$6,250,000","$6,535,000",7,Series A,http://www.cs-keys.com,2
LoraxAg,https://www.crunchbase.com/organization/loraxag,"Science and Engineering, Energy, Sustainability","Marlborough, Massachusetts, United States",LoraxAg is a coal gasification and chemical production facility developing green technologies.,"56,028",01/01/2009,Closed,,"CleanTech, Chemical, Energy",,1-10,11/30/2009,"$4,500,000","$4,500,000",,Series A,http://www.loraxag.com,1
Hotswap,https://www.crunchbase.com/organization/hotswap,"Commerce and Shopping, Transportation","Berkeley, California, United States","Hotswap offers a video-based platform for selling, finding and buying used cars.","56,361",03/01/2007,Closed,5,"E-Commerce, Automotive",,,07/26/2007,"$1,000,000","$1,000,000",1,Series A,http://www.hotswap.com,1
Gingerd,https://www.crunchbase.com/organization/gingerd,Data and Analytics,"Cambridge, Massachusetts, United States","Gingerd offers Dailydata, an app that helps chronic patients and their caregivers and clinicians keep track of their health.","56,619",01/01/2010,Closed,1,Analytics,2,11-50,10/10/2011,"$1,700,000","$1,700,000",,Series A,http://www.gingerd.com,1
GenieTown,https://www.crunchbase.com/organization/genietown,Internet Services,"Palo Alto, California, United States",GenieTown is an online marketplace for connecting specialized service providers and consumers in the local community.,"56,851",10/01/2006,Closed,3,"Local, Search Engine",,1-10,10/01/2007,"$2,000,000","$2,000,000",2,Series A,http://www.genietown.com,1
Pearescope,https://www.crunchbase.com/organization/pearescope,"Apps, Commerce and Shopping, Media and Entertainment, Software, Internet Services","New York, New York, United States",Pearescope is a network solution that allows members to introduce themselves privately and selectively to nearby mutual friends.,"56,984",09/09/2009,Closed,,"Social Media, Coupons, Local, Apps",1,1-10,08/14/2011,"$265,000","$325,000",,Series A,http://www.Pearescope.com,2
SensorWave,https://www.crunchbase.com/organization/sensorwave,"Hardware, Consumer Electronics, Sales and Marketing, Privacy and Security","Carlsbad, California, United States","SensorWave’s web service, Virtual Patrol, monitors activity and assets at client properties to detect and deter unwanted events or behavior.","57,173",,Closed,,"Consumer Electronics, Security, Public Relations",,11-50,01/01/2008,"$1,000,000","$1,000,000",,Series A,http://www.Sensorwave.com,1
Marquiss Wind Power,https://www.crunchbase.com/organization/marquiss-wind-power,"Natural Resources, Energy, Sustainability","Folsom, California, United States",Marquiss Wind Power provides ducted wind turbines for use on commercial and industrial rooftops.,"57,410",01/01/2006,Closed,4,"Wind Energy, Energy, CleanTech",,1-10,01/25/2008,"$1,300,000","$1,300,000",2,Series A,http://www.marquisswindpower.com,1
Shoutitout,https://www.crunchbase.com/organization/shoutitout,"Apps, Media and Entertainment, Software, Content and Publishing","Henderson, North Carolina, United States","Shoutitout is a website enabling users add clickable tags to their posts and add photos or links, and share with others.","57,585",08/28/2009,Closed,,"Apps, Blogging Platforms",1,1-10,05/14/2011,"$400,000","$3,900,000",,Series A,http://myshoutitout.com,4
WinDensity,https://www.crunchbase.com/organization/windensity,"Natural Resources, Energy, Sustainability","Lincoln, California, United States",Marquiss Wind Power sells ducted wind turbines to business customers.,"58,060",01/01/2006,Closed,,"Wind Energy, Energy, CleanTech",,1-10,01/28/2008,"$13,000,000","$13,000,000",2,Series A,http://Windensity.com,1
Adaptive Ozone Solutions,https://www.crunchbase.com/organization/adaptive-ozone-solutions,"Manufacturing, Natural Resources, Energy","Lenexa, Kansas, United States",Adaptive Ozone Solutions designs and integrates ozone and oxygen systems for various applications.,"58,436",01/01/2008,Closed,,"Oil and Gas, Manufacturing",,1-10,06/30/2008,"$3,750,000","$3,750,000",1,Series A,http://www.adaptiveozone.com,1
Union Spring Pharmaceuticals,https://www.crunchbase.com/organization/union-spring-pharmaceuticals,"Biotechnology, Science and Engineering","Union Star, Kentucky, United States","Union Springs Pharmaceuticals (USP) is a specialty company that licenses, develops and commercializes over-the-counter (OTC) products.","58,647",01/01/2007,Closed,,Biotechnology,,11-50,10/01/2009,"$5,000,000","$5,000,000",1,Series A,http://www.unionspringspharmaceuticals.com,1
Utterz,https://www.crunchbase.com/organization/utterz,"Media and Entertainment, Music and Audio, Content and Publishing, Mobile","Maynard, Massachusetts, United States",Utterz enables users to post multimedia content onto any web page via mobile phones and PCs.,"58,648",09/17/2007,Closed,19,"Audio, Mobile, Blogging Platforms",,1-10,09/01/2007,"$4,000,000","$4,000,000",1,Series A,http://utterz.com,1
BioWizard,https://www.crunchbase.com/organization/biowizard,Health Care,"Wayne, Pennsylvania, United States",BioWizard is a web-based platform providing biomedical research information for scientists and physicians.,"59,348",08/01/2005,Closed,1,Health Care,1,1-10,01/03/2008,"$425,000","$1,100,000",1,Series A,http://www.biowizard.com,2
Gamook,https://www.crunchbase.com/organization/gamook,"Gaming, Internet Services","Menlo Park, California, United States",Gamook is a platform enabling people to play and share online casual games.,"59,644",01/01/2008,Closed,2,"Casual Games, Internet, Gaming",,1-10,03/16/2008,"$1,500,000","$1,500,000",2,Series A,http://gamook.com,1
Screaming Sports,https://www.crunchbase.com/organization/screamingsports,Sports,"Atlanta, Georgia, United States",Screaming Sports offers a social networking service designed specifically for fantasy sports players.,"59,833",,Closed,5,Sports,2,,07/01/2007,"$1,250,000","$1,250,000",1,Series A,http://screamingsports.com/default.aspx,1
DigiMeld,https://www.crunchbase.com/organization/digimeld,"Media and Entertainment, Video, Content and Publishing","New York, New York, United States",DigiMeld provides video streaming solutions that can be integrated with content delivery networks.,"60,010",01/01/2009,Closed,3,"Content Delivery Network, Video, Video Streaming",,1-10,09/03/2008,"$2,000,000","$2,000,000",,Series A,http://digimeld.com,1
FFWD,https://www.crunchbase.com/organization/ffwd-vadver,"Media and Entertainment, Software, Video","San Francisco, California, United States",FFWD is a platform for discovering and sharing video content from network TV hits to obscure user-generated clips.,"60,231",01/01/2007,Closed,,"Content, File Sharing, Video",,,08/01/2007,"$1,700,000","$1,700,000",1,Series A,,1
Natural Cleaners Colorado,https://www.crunchbase.com/organization/natural-cleaners-colorado,,"Avon, Colorado, United States",Natural Cleaners Colorado provides dry and wet cleaning services using carbon dioxide and green earth cleaning technologies.,"60,393",01/01/2005,Closed,,Service Industry,,1-10,08/27/2008,"$1,900,000","$1,900,000",1,Series A,http://www.naturalcleaners.us,1
MuseStorm,https://www.crunchbase.com/organization/musestorm,Advertising,"Sunnyvale, California, United States","MuseStorm provides an online platform for authoring, distributing, analyzing and monetizing widgets.","61,004",01/01/2005,Closed,12,Ad Network,1,,07/01/2007,"$1,000,000","$1,429,763",2,Series A,http://www.musestorm.com,2
BrightQube,https://www.crunchbase.com/organization/brightqube,"Commerce and Shopping, Media and Entertainment, Data and Analytics, Software, Internet Services, Content and Publishing, Financial Services, Lending and Investments","Carlsbad, California, United States",BrightQube is an image marketplace with image viewing tools that are optimized for browsing large collections of photos.,"61,268",10/01/2006,Closed,,"Image Recognition, Web Development, Stock Exchanges, E-Commerce, Search Engine, Photography, Internet",1,,05/27/2008,"$650,000","$850,000",1,Series A,http://www.brightqube.com,2
Venture Incite,https://www.crunchbase.com/organization/venture-incite,,"Nashville, Tennessee, United States",Venture Incite helps new technology companies prepare themselves to be recipients of early-stage venture capital funds.,"61,275",01/01/2011,Closed,1,Consulting,,,05/04/2012,"$875,000","$875,000",3,Series A,,1
DormNoise,https://www.crunchbase.com/organization/dormnoise,"Media and Entertainment, Events","Fall River, Massachusetts, United States",DormNoise enabled college students to manage their college social life through a unique calendar system.,"61,525",01/01/2007,Closed,1,"Events, Universities, Social",1,1-10,05/06/2010,"$500,000","$950,000",1,Series A,http://DormNoise.com,2
i2we,https://www.crunchbase.com/organization/i2we,"Media and Entertainment, Internet Services","Berkeley, California, United States",i2we is a social network company that develops internet applications.,"61,737",01/01/2007,Closed,1,Social Media,1,11-50,06/16/2008,"$750,000","$750,000",2,Series A,http://www.i2we.com,1
Witel,https://www.crunchbase.com/organization/witel,Mobile,"San Francisco, California, United States",Witel provides its customers unlimited calls by routing calls over Wi-Fi networks regardless of their location.,"61,802",02/09/2007,Closed,,Mobile,,,09/15/2007,"$4,000,000","$4,000,000",,Series A,http://www.witel.com,1
Solar Notion,https://www.crunchbase.com/organization/solar-notion,"Manufacturing, Natural Resources, Energy, Sustainability, Design","Sunnyvale, California, United States","Solar Notion is engaged in the design, development, manufacture and marketing of photovoltaic solar power panels.","61,928",01/01/2007,Closed,,"Solar, Manufacturing, Product Design",,1-10,09/20/2007,"$10,000,000","$10,000,000",1,Series A,http://www.solarnotion.com,1
Golden Gateway Financial,https://www.crunchbase.com/organization/golden-gateway-financial-inc,Financial Services,"Oakland, California, United States",Golden Gateway Financial is a comprehensive resource for seniors to assess their financial health at retirement.,"62,218",01/01/2006,Closed,,Financial Services,1,11-50,09/14/2007,"$6,000,000","$6,000,000",1,Series A,http://www.goldengateway.com,1
Xikota Devices,https://www.crunchbase.com/organization/xikota-devices,"Manufacturing, Science and Engineering, Hardware, Consumer Electronics","Waltham, Massachusetts, United States",Xikota Devices is involved in the development of semiconductors.,"62,868",01/01/2007,Closed,,"Electronics, Manufacturing, Semiconductor",,1-10,11/27/2007,"$960,000","$960,000",1,Series A,http://www.starrf.com,1
86.com,https://www.crunchbase.com/organization/86-com,Food and Beverage,"Washington, District of Columbia, United States","86.com, a business-to-business E-commerce portal for independent restaurants and their suppliers.","63,577",01/01/2000,Closed,,Restaurants,,,06/07/2000,"$2,000,000","$2,000,000",1,Series A,http://www.86.com/,1
Darkstrand,https://www.crunchbase.com/organization/darkstrand,"Software, Internet Services","Chicago, Illinois, United States","Darkstrand provides services to help companies collaborate, particularly over the optical network.","63,714",01/01/2005,Closed,1,"Social Network, Service Industry, Software",,11-50,10/28/2008,"$12,000,000","$12,000,000",,Series A,http://www.darkstrand.com,1
LegiTime Technologies,https://www.crunchbase.com/organization/legitime-technologies,"Information Technology, Internet Services, Messaging and Telecommunications","Farmington, Connecticut, United States","LegiTime Technologies provides LegiText, a subscription-based SMS solution with message authentication, and archiving facilities.","64,568",01/01/2005,Closed,2,Messaging,,1-10,12/15/2009,"$1,500,000","$4,000,000",4,Series A,http://www.legitimetechnologies.com,2
SunModular,https://www.crunchbase.com/organization/sunmodular,"Manufacturing, Natural Resources, Energy, Sustainability, Data and Analytics, Software","Mountain View, California, United States","SunModular is a manufacturer of thermal solutions for photovoltaic modules in residential, commercial, and solar farm applications.","65,050",01/01/2007,Closed,1,"Solar, Manufacturing, Application Performance Management",,1-10,09/02/2009,"$2,500,000","$2,500,000",,Series A,http://sunmodularinc.com,1
ERTH Technologies,https://www.crunchbase.com/organization/erth-technologies,"Natural Resources, Sustainability, Real Estate","Longmont, Colorado, United States",ERTH Technologies develops and commercializes technologies for the wastewater treatment and destruction markets.,"67,234",01/01/2002,Closed,,"Water, Building Material, Waste Management",,1-10,06/02/2008,"$2,000,000","$2,000,000",,Series A,http://www.erthinc.com,1
The Society,https://www.crunchbase.com/organization/the-society,"Travel and Tourism, Community and Lifestyle","Lakewood, Colorado, United States",The Society offers a large online network of hand-selected vacation rental homes and villas.,"68,379",01/01/2007,Closed,3,"Travel, Lifestyle, Hospitality",2,1-10,06/01/2008,"$1,000,000","$1,500,000",,Series A,http://TheSociety.com,2
Roc2Loc,https://www.crunchbase.com/organization/roc2loc,Mobile,"San Francisco, California, United States",Roc2Loc offers wireless monitoring solutions for a range of applications.,"68,704",01/01/2007,Closed,2,Mobile,,1-10,12/04/2008,"$2,000,000","$2,000,000",1,Series A,http://www.roc2loc.com,1
Mad Croc,https://www.crunchbase.com/organization/mad-croc,"Energy, Sports","Deerfield Beach, Florida, United States",Mad Croc is designed to give you energy when you need it and help you accomplish whatever it is that appears monumental.,"69,558",01/01/2006,Closed,,"Fitness, Energy",,11-50,04/18/2010,"$351,000","$766,000",2,Series A,http://www.madcroc.com/,2
LightPole,https://www.crunchbase.com/organization/lightpole,Mobile,"San Francisco, California, United States",LightPole is designed to answer the most probable questions in the shortest amount of time and with the least amount of interaction.,"70,115",01/01/2007,Closed,5,Mobile,1,1-10,03/03/2008,"$1,600,000","$2,100,000",2,Series A,http://www.lightpole.net,2
Fuego Nation,https://www.crunchbase.com/organization/fuego-nation,"Media and Entertainment, Internet Services","San Francisco, California, United States",Fuego Nation is a social networking solutions company providing next-generation web interfaces to large and targeted social communities.,"71,437",01/01/2007,Closed,3,Social Media,,1-10,03/11/2008,"$1,500,000","$1,500,000",1,Series A,http://www.fuegonation.com,1
PayParade Pictures,https://www.crunchbase.com/organization/payparade,"Media and Entertainment, Sales and Marketing, Internet Services, Advertising","Bala Cynwyd, Pennsylvania, United States",PayParade Pictures employs social networks to make direct response marketing more effective for brands and retailers.,"72,609",10/17/2007,Closed,,"Advertising, Direct Marketing, Social Media",1,1-10,03/13/2009,"$75,000","$200,000",3,Series A,http://www.payparade.com,2
jobs-dial LLC,https://www.crunchbase.com/organization/jobs-dial-llc,Professional Services,"Delaware City, Delaware, United States",Jobs-dial offers a complete range of end-to-end employment solutions and career planning tools.,"73,132",01/18/2010,Closed,,"Consulting, Employment, Human Resources",,101-250,08/12/2012,"$200,000","$200,000",,Series A,http://www.jobs-dial.com,1
Wesabe,https://www.crunchbase.com/organization/wesabe,Financial Services,"San Francisco, California, United States",Wesabe is a personal finance management website designed to help users manage their daily finance.,"74,419",12/01/2005,Closed,76,Finance,2,,06/01/2007,"$4,000,000","$4,700,000",2,Series A,http://wesabe.com,2
Swivel,https://www.crunchbase.com/organization/swivel,"Software, Internet Services","San Francisco, California, United States",Swivel provides a service for visually sharing data.,"76,304",12/01/2005,Closed,15,"Search Engine, Online Portals, File Sharing",2,1-10,04/01/2007,"$1,000,000","$2,000,000",1,Series A,http://www.swivel.com,2
GlobalPrint Systems,https://www.crunchbase.com/organization/globalprint-systems,"Hardware, Media and Entertainment, Software, Content and Publishing","Marlton, New Jersey, United States",GlobalPrint Systems is a provider of on-demand printing services for businesses and consumers.,"76,458",01/01/2005,Closed,,"Software, Hardware, Printing",1,1-10,04/01/2008,,,1,Series A,http://globalprintsystems.net,1
Freedom2,https://www.crunchbase.com/organization/freedom2,Consumer Goods,"Cherry Hill, New Jersey, United States","Freedom2 is the developer of the Particle Encapsulation and Enhancement (P2E) Platform, which is designed to simplify tattoo removal.","77,686",01/01/1998,Closed,,Beauty,,1-10,03/28/2007,"$1,500,000","$1,500,000",3,Series A,http://www.freedom2inc.com,1
Current Media,https://www.crunchbase.com/organization/currenttv,"Media and Entertainment, Internet Services, Content and Publishing","San Francisco, California, United States",Current Media is a cable news network and online destination allowing users to produce the news programming it puts on air and online.,"83,917",01/01/2005,Closed,52,"News, Web Hosting, Internet",1,,07/29/2005,"$15,000,000","$15,000,000",2,Series A,http://current.com,1
TalkPlus,https://www.crunchbase.com/organization/talkplus,"Information Technology, Internet Services, Messaging and Telecommunications","San Mateo, California, United States",TalkPlus offers Voice 2.0 services for mobile networks by using VoIP technology.,"93,584",02/01/2004,Closed,21,Messaging,,,10/01/2006,"$5,500,000","$5,500,000",1,Series A,http://www.talkplus.com,1
M2Z Networks,https://www.crunchbase.com/organization/m2z-networks,"Hardware, Mobile","Menlo Park, California, United States","M2Z provides fast, free, and family-friendly wireless broadband access to consumers in the United States.","95,249",01/01/2005,Closed,34,"Mobile, Family, Telecommunications, Wireless",,1-10,03/30/2006,"$4,000,000","$4,000,000",3,Series A,http://www.m2znetworks.com,1
Platial,https://www.crunchbase.com/organization/platial,"Navigation and Mapping, Internet Services","Portland, Oregon, United States","Platial, a map making portal, searches and serves exploration sites as a global atlas.","95,828",01/01/2005,Closed,39,"Online Portals, Local, Mapping Services",3,,02/01/2007,"$2,600,000","$3,400,000",7,Series A,http://platial.com,2
InstaJob,https://www.crunchbase.com/organization/instajob,Software,"Flower Mound, Texas, United States",InstaJob is engaged in the building and promotion of P2P software for the human resource industry.,"96,547",01/01/2003,Closed,,Software,,1-10,07/25/2006,"$2,000,000","$2,000,000",1,Series A,http://www.instajob.net,1
Smalltown,https://www.crunchbase.com/organization/smalltown,"Commerce and Shopping, Media and Entertainment, Sales and Marketing, Advertising","San Mateo, California, United States",Smalltown is an online advertising network catering the needs of local merchants and thier customers.,,01/15/2005,Closed,21,"Media and Entertainment, E-Commerce, Advertising, Ad Network",2,1-10,10/10/2006,"$3,000,000","$7,000,000",2,Series A,http://www.smalltown.com,2
Mercora,https://www.crunchbase.com/organization/mercora,"Apps, Software, Mobile","Sunnyvale, California, United States","Mercora is the company behind Social.fm, a DJ application for web and mobile users.",,01/01/2003,Closed,35,"Mobile, Web Apps, Mobile Apps",,11-50,01/01/2005,"$5,000,000","$5,000,000",1,Series A,http://mercora.com,1
bluepulse,https://www.crunchbase.com/organization/bluepulse,"Media and Entertainment, Internet Services, Mobile","San Mateo, California, United States",Bluepulse is a mobile social media company offering social networking applications that work on internet-enabled phones.,,04/10/1990,Closed,11,"Mobile, Social Network, Social Media",1,1-10,04/01/2007,"$6,000,000","$6,000,000",2,Series A,http://www.bluepulse.com,1
nellymoser,https://www.crunchbase.com/organization/nellymoser,"Hardware, Media and Entertainment, Consumer Electronics, Mobile","Arlington Heights, Massachusetts, United States","Provider of software and managed services for creating, controlling and connecting rich media to consumers via mobile devices.",,01/01/2000,Closed,2,"Consumer, Mobile Devices, Media and Entertainment",2,51-100,05/13/2005,"$5,300,000","$5,300,000",2,Series A,http://nellymoser.com,1
mywaves,https://www.crunchbase.com/organization/mywaves,"Media and Entertainment, Video, Mobile","Sunnyvale, California, United States",mywaves is a mobile video service that enables its users to browse through various video platforms.,,12/01/2005,Closed,7,"Video, Mobile",1,11-50,12/08/2006,"$6,000,000","$9,040,000",1,Series A,http://www.mywaves.com,2
FlickIM,https://www.crunchbase.com/organization/flickim,"Information Technology, Internet Services, Messaging and Telecommunications, Mobile","Berkeley, California, United States","FlickIM is an IM program for the iPhone that supports services such as Yahoo! Messenger, Windows Live Messenger, Google Talk, and AIM.",,12/01/2006,Closed,13,"Messaging, Mobile",2,1-10,03/01/2007,"$1,600,000","$1,600,000",2,Series A,http://www.outfittershaven.com,1
Collactive,https://www.crunchbase.com/organization/collactive,"Media and Entertainment, Community and Lifestyle, Internet Services","Wilmington, Delaware, United States",Collactive offers services for communities with similar interests to express their opinion on social media sites.,,01/01/2006,Closed,7,"Social Media, Non Profit, Communities",,11-50,01/01/2007,"$2,000,000","$2,000,000",1,Series A,http://www.collactive.com,1
PlayCafe,https://www.crunchbase.com/organization/playcafe,"Gaming, Internet Services","Redwood City, California, United States","PlayCafe is an online game show network. Players can compete in a variety of games, chat live with our hosts and players, form teams, call",,04/01/2006,Closed,9,"Online Games, Internet",1,1-10,12/01/2007,,,,Series A,http://www.playcafe.com,1
OleOle,https://www.crunchbase.com/organization/oleole,"Media and Entertainment, Sports, Sales and Marketing, Internet Services, Content and Publishing, Advertising","Beverly Hills, California, United States","OleOle manages a multi-lingual, vertical social media platform for football.",,12/01/2006,Closed,5,"Advertising, Web Hosting, Social Media, Soccer, Publishing, Sports",1,11-50,01/01/2007,"$5,000,000","$5,000,000",,Series A,http://www.oleole.com,1
itzbig,https://www.crunchbase.com/organization/itzbig,"Professional Services, Internet Services","Austin, Texas, United States",itzbig is an interactive job website that connects employers and candidates in real time.,,06/01/2006,Closed,,"Employment, Consulting, Search Engine",,,02/27/2007,"$4,000,000","$4,000,000",2,Series A,http://www.itzbig.com,1
Feedster,https://www.crunchbase.com/organization/feedster,"Media and Entertainment, Sales and Marketing","San Francisco, California, United States",Social Content Marketing - Vanity Profiles meets Content Marketing,,03/01/2004,Closed,1,"Social Media Marketing, Content, Marketing",3,,07/13/2006,,,10,Series A,http://www.feedster.com/,3
Paxfire,https://www.crunchbase.com/organization/paxfire,Software,"Sterling, Virginia, United States",Paxfire generates ad revenue for network operators from address bar searches and DNS error traffic.,,01/01/2003,Closed,15,Software,,1-10,05/22/2005,"$2,100,000","$2,200,000",4,Series A,http://www.paxfire.com,3
PeerMe,https://www.crunchbase.com/organization/peerme,"Information Technology, Internet Services, Messaging and Telecommunications","Mountain View, California, United States",PeerMe is a free communication tool for peer-to-peer voice and instant messaging.,,01/01/2004,Closed,3,VoIP,2,,01/01/2005,"$5,000,000","$5,000,000",3,Series A,http://Peerme.com,1
Ujogo,https://www.crunchbase.com/organization/ujogo,"Gaming, Internet Services","Saratoga, California, United States",Ujogo is a rewards-based free online games site.,,07/01/2007,Closed,4,"Internet, Online Games, Gaming",3,1-10,07/01/2007,,,,Series A,http://ujogo.com,1
Evident Software,https://www.crunchbase.com/organization/evident-software,"Information Technology, Software","Newark, New Jersey, United States",Evident Software's IT Service Intelligence platform helps drive IT value.,,01/01/1996,Closed,2,"Service Industry, Software, Information Services",,11-50,09/01/2008,,"$16,800,000",8,Series A,http://www.evidentsoftware.com,3
Nayatek,https://www.crunchbase.com/organization/nayatek,"Hardware, Information Technology, Software, Internet Services","Wilmington, Delaware, United States",Enterprise Content Archiving Software,,01/01/2006,Closed,,"Ediscovery, Information Services, Virtualization, Enterprise Software",2,11-50,12/18/2008,,,1,Series A,http://www.nayatek.com,1
Storspeed,https://www.crunchbase.com/organization/storspeed,"Hardware, Information Technology, Software","Austin, Texas, United States",StorSpeed develops products to increase network storage performance.,,01/01/2007,Closed,,"Software, Information Technology, Network Hardware",1,11-50,06/07/2007,"$13,000,000","$13,000,000",5,Series A,http://www.storspeed.com,1
Authenticlick,https://www.crunchbase.com/organization/authenticlick,Data and Analytics,"Los Angeles, California, United States",Authenticlick is a web analytics company providing web traffic quality intelligence solutions for online advertising optimization.,,08/05/2005,Closed,1,Analytics,,1-10,02/01/2006,"$5,000,000","$5,000,000",1,Series A,http://www.authenticlick.net,1
Bizmore,https://www.crunchbase.com/organization/bizmore,Media and Entertainment,"San Francisco, California, United States",Bizmore is a business advice network for the owners and managers of small-and medium-sized businesses.,,11/01/2008,Closed,4,"Advice, B2B, Small and Medium Businesses",1,11-50,01/01/2007,,,2,Series A,http://www.bizmore.com,1
