Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Status,Number of Articles,Categories,Number of Founders,Number of Employees,Last Funding Date,Last Funding Amount,Total Funding Amount,Number of Investors,Last Funding Type,Website,Number of Funding Rounds
"Game Trading technologies, Inc.",https://www.crunchbase.com/organization/game-trading-technologies-inc,"Gaming, Transportation","Hunt Valley, Maryland, United States","Game Trading Technologies is a video game provider focused on the valuation, procurement, refurbishment and redistribution of video games.","41,926",01/01/2003,Closed,,"Video Games, Procurement, Gaming",,51-100,02/26/2010,"$3,900,000","$3,900,000",1,Series A,http://www.gtti.com,1
mEgo,https://www.crunchbase.com/organization/mego,"Media and Entertainment, Internet Services, Content and Publishing","Los Angeles, California, United States","mEgo enables its users to create personalized avatars and integrate with blogs, social networks, websites, and IM clients.","41,940",10/01/2005,Closed,6,"Blogging Platforms, Online Portals, Social Network",2,11-50,02/21/2011,"$915,116","$7,348,141",,Series A,http://www.mego.com,5
Twitpay,https://www.crunchbase.com/organization/twitpay,"Apps, Commerce and Shopping, Media and Entertainment, Software, Internet Services","Atlanta, Georgia, United States",Twitpay offers a social payments method that initiates a financial transaction by posting a message on social networks.,"41,966",01/01/2010,Closed,11,"Virtual Goods, Social Media, Apps, E-Commerce",2,1-10,01/01/2011,,"$500,000",1,Series A,http://twitpay.com,2
Reaction,https://www.crunchbase.com/organization/reaction,"Manufacturing, Sustainability, Real Estate","Austin, Texas, United States","Reaction, Inc. is an innovative product company that designs and manufactures hardware and software to (re)meet a basic human need: shelter.","42,145",01/31/2014,Closed,18,"GreenTech, Architecture, Manufacturing",1,11-50,03/04/2015,"$9,800,000","$12,934,371",20,Series A,http://www.reactioninc.com,8
GateRocket,https://www.crunchbase.com/organization/gaterocket,Health Care,"Bedford, Massachusetts, United States",GateRocket is a provider of verification and debugging solutions for field-programmable gate arrays.,"42,267",01/01/2003,Closed,2,Health Care,,1-10,12/16/2009,"$1,980,757","$6,230,757",13,Series A,http://www.gaterocket.com,4
StandardNine,https://www.crunchbase.com/organization/standardnine,"Media and Entertainment, Software, Education","San Francisco, California, United States",StandardNine is a startup focused on the development of disruptive innovation for educational content on iPhones.,"42,356",01/01/2009,Closed,,"EdTech, Content, Education",,1-10,04/05/2011,"$6,016,903","$6,016,903",1,Series A,http://www.standardnine.com/index.html,2
iSyndica,https://www.crunchbase.com/organization/isyndica,"Media and Entertainment, Software, Internet Services","Nashua, New Hampshire, United States",iSyndica is a cloud-based digital media distribution platform that focuses on online marketing.,"42,470",01/08/2009,Closed,4,"Digital Media, Cloud Computing, Enterprise Software",4,1-10,07/29/2009,"$350,000","$500,000",,Series A,http://www.isyndica.com,2
TeeBeeDee,https://www.crunchbase.com/organization/teebeedee,"Media and Entertainment, Internet Services","San Francisco, California, United States","TeeBeeDee is a social network for people over 40 to share their ideas, insights, and experiences.","42,530",03/01/2007,Closed,8,"Social Network, Social Media",4,,08/01/2007,"$4,800,000","$4,800,000",2,Series A,http://www.tbd.com,1
Wis.dm,https://www.crunchbase.com/organization/wis-dm,"Media and Entertainment, Internet Services","Chicago, Illinois, United States",Wis.dm is a social network based around simple yes/no questions whose vision is to match up potential friends and create interest groups.,"42,623",06/01/2006,Closed,9,"Social Network, Social Media, Online Portals",2,,08/01/2007,"$5,000,000","$5,000,000",2,Series A,http://wis.dm,1
Ziptr,https://www.crunchbase.com/organization/ziptr,"Information Technology, Data and Analytics, Software, Internet Services","Burlington, Massachusetts, United States",Ziptr provides safe online communication solutions for businesses and individuals through data encryption.,"42,668",01/01/2010,Closed,1,"Online Portals, Enterprise Software, Data Integration",1,11-50,06/01/2011,"$6,800,000","$8,300,000",,Series A,http://www.ziptr.com,2
