,Company ID,Description,Company Name,HQ Post Code,Primary Industry Code,Primary Contact,Year Founded,Active Investors,HQ Location,Growth Rate,Size Multiple,Last Financing Date,Last Financing Size,Last Financing Deal Type 2 ,Majestic Referring Domains,Facebook Likes,Twitter Followers,Employees,Total Raised,VC_invested,Twitter_Username
579,57431-44,"Developer of cloud-based computer networking technology designed to virtualize Wide Area Networks. The company's cloud-based computer networking technology focuses on developing simplified, virtualized networks that are centrally managed with Software-Defined Wide Area Network (SD-WAN) technology that virtualizes WAN infrastructure, enabling companies to build carrier agnostic, policy-controlled and cost-effective WANs.",Viptela,95112,Network Management Software,Amir Khan,2012.0,"Moment Ventures, Northgate Capital, Redline Capital Management, Sequoia Capital","San Jose, CA",0.22270476136302536,13.95220644373187,2017-05-01,610.0,,144.0,867.0,8446.0,120.0,108.55,1,AmirKhanHub
581,12761-29,"Developer of medical devices designed to measure oxygen saturation levels in tissues. The company's medical devices measure tissue oxygen saturation post-operatively in real time during pre-op baseline assessment, intra-operative mapping and post-op ICU monitoring, enabling patient to have improved surgical outcomes.",ViOptix,94560,Monitoring Equipment,Melissa Liu,1999.0,"Channel Medical Partners, DowsLake Venture, Evertop International, GrowthWorks, Horizon Technology Finance, Kummell Investments, Lincoln Capital Partners, Lumira Capital, Morningside Group, Trident Capital, Vivo Capital","Newark, CA",0.0,0.5485792956868859,2012-03-31,0.17,,39.0,8.0,27.0,10.0,63.5,1,melissamliu
585,61260-49,"Developer of an on-demand personal fitness application designed to makes it easy for gyms and trainers to connect with their clients. The company's software allows gyms and fitness centers to get their own branded mobile application that handles all the tasks including online bookings, direct payments, direct communication amongst clients and smart marketing tools, enabling them to save time and money by setting up automated tasks as well as build loyalty and recognition by offering a tailored user experience.",Vint,94103,Application Software,Louise Fritjofsson,2013.0,"500 Startups, Bryan Johnson, Creandum, David Giampaolo, DN Capital, Edastra Venture Capital, GP Bullhound, Hampus Jakobsson, Kima Ventures, Richard Båge","San Francisco, CA",0.15273978180061037,3.358873741095554,2016-02-29,4.0,,147.0,2072.0,1012.0,15.0,1.8,1,Louise_KingLui
613,166688-02,Provider of cloud-based video service platform. The company offers international video deployment service that helps other organizations to receive video communication facility. It provides video services that makes it easy for organizations to use professional video conferencing.,Videxio,1366,Communication Software,Tom Lia,2011.0,"Stavanger Venture, TD Veen","Oslo, Norway",0.17041128834393837,1.9424694064524575,2013-01-01,4.0,,59.0,688.0,1298.0,18.0,6.6,1,TomAndreLia
618,100373-50,"Provider of a video advertising platform. The company offers a video advertising platform to buy, optimize and measure video advertisement across television, mobile and desktop.",VideoAmp,90403,Media and Information Services (B2B),Dave Gullo,2014.0,"Anthem Venture Partners, GoAhead Ventures, RTL Group, Simon Equity Partners, Startup Capital Ventures, Third Wave Capital, Third Wave Digital, Third Wave Ventures, Wavemaker Partners","Santa Monica, CA",0.04037661473218767,2.120284828464637,2015-12-15,15.0,Series A,81.0,1440.0,798.0,51.0,17.2,1,davegullo
628,51577-03,"Developer of artificial intelligence (AI) algorithms designed to mimic the function of the human brain. The company's artificial intelligence (AI) algorithms is developing a unified algorithmic architecture to achieve human-level intelligence in vision, language and motor control and focuses on visual perception problems, such as recognition, segmentation and scene parsing, enabling businesses to use computers that have achieved human-level intelligence to work efficiently.",Vicarious,94034,Application Software,David Phoenix,2010.0,"Aaron Levie, ABB Technology Ventures, Adam D'Angelo, A-Grade Investments, AME Cloud Ventures, Anduin Ventures, Ashton Kutcher, Bezos Expeditions, Bryan Johnson, Data Collective, Derek Collison, Dustin Moskovitz, Elon Musk, Felicis Ventures, Formation 8, Founders Fund, Good Ventures, Individual Investor, Initialized Capital, Janus Friis, Jeffrey Bezos, Jerry Yang, Khosla Ventures, Marc Benioff, Mark Zuckerberg, Metaplanet Holdings, Open Field Capital, Orfin Ventures, OS Fund, Peter Diamandis, Peter Thiel, Presence Capital, Sam Altman, Samsung Venture Investment, Steve Brown, Vinod Khosla, Wipro Ventures, Y Combinator, Zarco Investment Group","Palo Alto, CA",0.19726353536129793,5.331488591971274,2016-05-13,1.02,,296.0,1758.0,1129.0,24.0,88.04,1,alphanaut
644,51037-57,"provider of location-powered mobile marketing technology designed to connect advertisers with consumers to deliver successful business outcomes. The company's mobile marketing platform's proprietary location intelligence, patented technology, premium inventory, and analytics capabilities empower marketers to identify, reach and engage consumers with compelling advertising experiences enabling advertisers, large and small, utilize the power of connecting with consumers on their devices in real time.",Verve Wireless,10003,Media and Information Services (B2B),John Fitzgerald,2005.0,"Associated Press, BlueRun Ventures, Crosscut Ventures, Elevate Innovation Partners, Fenox Venture Capital, Fraser McCombs Capital, Iron Capital Partners, Ludlow Ventures, Nokia Growth Partners, Plug and Play Tech Center, Qualcomm Ventures","New York, NY",0.4192582605925835,3.2493367722918203,2016-07-01,4.0,,764.0,760.0,1961.0,248.0,64.07,1,johnfgates
659,99119-89,Provider of a marketplace for high-end services. The company provides a marketplace for service providers offering luxury services to communicate and transact with clients through a mobile application.,Veritamo,94111,Social/Platform Software,Yuri Rabinovich,2014.0,"IMI.VC, Startup Monthly","San Francisco, CA",0.17003913630169537,0.5752392143696492,,4.0,,20.0,490.0,807.5,18.0,6.6,1,byuric
665,100395-55,Developer of software diagnosis automation technologies. The company offers an automatic de-bugging tool for the detection and analysis of software and hardware failures.,Verifyter,223 70,Application Software,Daniel Hansson,2010.0,"Almi Invest, Ideon Innovation, Lars-Eric Lundgren, Mobile Heights Business Center, Spintop Ventures","Lund, Sweden",0.09138002210749678,0.49935104596121543,2013-06-18,4.0,,8.0,867.0,277.0,5.0,6.6,1,neocreo
667,54751-06,"Provider of online and on-demand automated functional testing services. The company provides automated testing for Web and mobile applications. The company also offers various other testing services, including performance and load testing, localization testing, security testing, compliance testing, and usability testing.",Verifaya,560085,Automation/Workflow Software,Girish Basidoni,2005.0,Intel Capital,"Bangalore, India",0.0,0.21770534878493614,2013-01-21,4.0,,14.0,85.0,3.0,124.0,6.6,1,basidoni
672,117601-75,Developer of a mobile enterprise software. The company provides a mobile software platform that enables companies to deploy information to their employees on their mobile devices to increase productivity and engagement.,Verecho,94304,Application Software,Pooneet Goel,2015.0,"Alchemist Accelerator, Marco Wirasinghe, Monta Vista Capital, Prabhu Goel","Palo Alto, CA",-0.04910760379015764,0.30036988246273433,2016-04-07,0.05,,11.0,11.0,210.0,4.0,0.05,1,pooneetgoel
673,58696-39,"Provider of energy monitoring platform and analytics software. The company has developed an IoT technology to target large commercial building energy analytics. It also provides energy management tools for energy reduction, demand management and monitoring mission-critical equipment.",Verdigris,94035,Electrical Equipment,Mark Chung,2012.0,"Amos Ben-Meir, Data Collective, Founder.org, Jabil Circuit, StartX, Verizon Ventures","Mountain View, CA",0.09592357974894303,1.4516241870884465,2016-10-12,6.66,Series A,26.0,216.0,1464.0,20.0,18.26,1,mychung
674,51346-99,Developer of bio-based processes for the production of renewable fuels and chemicals. The company uses proven and metabolic pathway engineering tools to create yeast strains for production of bio-based fuels and chemicals.,Verdezyne,92010,Energy Production,David Kelsey,2005.0,"BP Ventures, DSM Venturing, Enterprise Partners Venture Capital, Hercules Capital, Individual Investor, Life Science Angels, Monitor Ventures, OVP Venture Partners, Sime Darby, Tech Coast Angels, William Radany","Carlsbad, CA",-0.5348681709996521,2.4713382110397584,2016-09-15,4.0,,111.0,100.0,1330.0,67.0,87.23,1,davidkelsey
683,53537-68,"Operator of an online innovation and technology news website intended to publish news, analysis, long-form features, interviews and videos. The company's online innovation and technology news website provides a source for news related to software, Internet, mobile and green-technology industries and offers an overview of technology trends, from social media to mobile, clean technology, games and computer chips, enabling individuals and companies to get news updates.",VentureBeat,94111,Information Services (B2C),Matthew Marshall,2006.0,"Amidzad Partners, Aydin Senkut, Bodley Group, Crosslink Capital, Felicis Ventures, Foley Ventures, Formation 8, Georges Harik, Global Brain, Lightbank, MHS Capital, Mike Brown, Pankaj Shah, Philippe Cases, Plug and Play Tech Center, Rally Ventures, Walden Venture Capital","San Francisco, CA",-0.011109907794323623,656.9666108997723,2016-09-28,0.56,,1664.0,434892.0,706869.0,26.0,6.21,1,Matth3wMarshall
686,58391-38,Provider of a biomaterial scaffold for cardiac repair. The company is focused on delivering a biomaterial scaffold for cardiac repair of heart failure patients having limited treatment options.,Ventrix,92109,Surgical Devices,Adam Kinsey,2009.0,"National Institutes of Health, National Science Foundation","San Diego, CA",0.006090860322182161,0.19694515022444278,2016-01-01,1.03,,10.0,148.0,22.0,5.0,5.16,1,MWBeekeeper
691,97270-21,"Provider of business management software. The company provides ticketing, marketing, logistic and fundraising software to any-sized organization.",Vendini,94104,Social/Platform Software,Mark Tacchi,2001.0,Level Equity,"San Francisco, CA",-0.03331465213974344,82.56050195895443,2016-05-31,20.0,Series A,6013.0,1372.0,1338.0,131.0,20.0,1,marktacchi
702,103373-29,Provider of a live video streaming application. The company offers an online platform that enables users to stream videos and communicate with others using live videos.,Veetle,94301,Application Software,Bo Yang,2008.0,ChinaRock Capital Management,"Palo Alto, CA",-0.29357595899746475,94.01655987496078,,4.0,,1858.0,207698.0,6256.0,11.0,6.6,1,peets
722,58656-61,"Manufacturer of customized fit mens' shirts. The company allow users to create their own polo shirts by selecting various trims for fabric, collar, cuff, pocket, side vents and placket types and sells them through the company website.",Vastrm,94010,Clothing,Jonathan Tang,2012.0,"Andreessen Horowitz, Aventura VC, Columbus Nova Technology Partners, David Hehman, General Catalyst Partners, Ignition Venture Partners, Individual Investor, Quest Venture Partners, Saad AlSogair, Start Fund, SV Angel, Victor Young, Will Smith, Y Combinator","Burlingame, CA",7.020418496844674e-05,2.833778709755128,2014-10-22,0.65,,94.0,2383.0,1166.0,5.0,1.65,1,jon_tang
730,124316-11,"Developer of a flying camera designed to capture top quality aerial video. The company's flying camera is the culmination of meticulous engineering and design and offers exceptional, 4k gimbal-stabilized image quality with a tracking mode and in a portable and safe package, enabling users to capture photos and video safely from the air.",Vantage Robotics,94117,Electronics (B2C),Tobin Fisher,2013.0,"Bulldog Innovation Group, Chris Fry, Othman Laraki, Peter Kravtsov, Rothenberg Ventures, Ruvento Ventures, Sand Hill Angels, William Tai, Zak Holdsworth","San Francisco, CA",0.06451495087982889,5.771443153333352,2017-05-05,0.33,,11.0,16433.0,735.0,4.0,3.96,1,vantagetobin
737,66136-60,Provider of business-intelligence tools for water utilities. The company provides a suite of interactive revenue maximization tools for water utility finance that allows utilities to harness the power of their data and develop provisions to achieve dual goals of water resource and financial sustainability.,Valor Water Analytics,94102,Environmental Services (B2B),Christine Boyle,2013.0,"500 Startups, Anonymous Investor, Apsara Capital, Imagine H2O, Shore Ventures II, Syzygy West, Tumml, Y Combinator","San Francisco, CA",0.027624937746619165,0.6333385259140601,2016-06-10,1.6,,42.0,114.0,43.0,9.0,1.84,1,ChristineBoyle
740,55136-62,"Provider of blade server management services and internet products and technologies. The company develops software that helps in power management, remote management of server infrastructures and other critical server management functions. It also develops and markets CalliGrapher and PenOffice software providing script handwriting recognition for Win CE and Windows environments and manufactures and sells handheld personal computers, PC card host adapters and integrated circuits.",Vadem,95054,Network Management Software,Henry Fung,1983.0,"Fujigin Capital, IVP, Mayfield Fund, NEC Corporation, Walden International","Santa Clara, CA",0.007769340487034546,6.648648648648648,,5.1,,246.0,867.0,807.5,18.0,5.1,1,FragginCivie
741,57732-04,"Provider of a resort rental marketplace for vacationing families. The company provides a vacation rental marketplace for resort residences with search results and instant booking for hospitality, timeshare and independent resorts.",Vacatia,94105,Hotels and Resorts,Scott Christian,2013.0,"Barry Sternlicht, Bee Partners, Brendan Wallace, Chris Sang, Darren Bechtel, David Wu, Douglas Dillard, Egon Durban, Erik Blachford, Eugene Frantz, Greg Waldorf, Grey Wolf VC, Javelin Venture Partners, Jaws Ventures, Maveron, Meyer and Co., Otter Rock Capital, Peterson Partners, Raymond Gellein, Robert Spottswood, Robert Wuttke, Spencer Rascoff, Steven Hankin, Structure Capital, Thomas Byrne, ZenStone Venture Capital","San Francisco, CA",0.1250394292195184,9.03784151295205,2016-09-06,12.24,Series A,38.0,6075.0,9388.0,24.0,17.24,1,ScottChristian1
742,153793-72,"Developer of next-generation portable, wireless, solar powered outdoor security and computing platforms for the industrial IoT. The company's platforms are modular enabling V5 Systems to deploy sophisticated, multiple sensor based solutions including video, acoustic (gunshot detection) and chemical sensors which collect, analyze and relay sensor data for actionable alerts in real-time via on-edge artificial intelligence. The company also allows third-party sensors and software applications to be deployed in any configuration to our open but controlled computing architecture. All of the company's solutions run on V5 Systems proprietary power system that can be deployed in any outdoor environment in under 30 minutes without the limitations of having to tap into fixed power or modify existing land or structures to access the necessary power and connectivity.",V5 Systems,94539,Electrical Equipment,Steven Yung,2014.0,Cheng Uei Precision Industry Company,"Fremont, CA",0.9392288320584408,1.28276691524665,2017-04-18,12.0,Series A2,78.0,187.0,260.0,54.0,19.1,1,StevenLouis93
752,57081-79,"Provider of consultancy and usability analysis services. The company provides a data-driven platform to test usability and measure user experience (UX). It focuses on assisting businesses in gaining actionable insights, scaling their user research and boosting return on investment (ROI).",UserZoom,95113,Social/Platform Software,Alfonso de la Nuez,2007.0,"StepStone Group, Sunstone Partners, Trident Capital","San Jose, CA",0.5061880668605288,6.217887539608247,,4.0,,220.0,747.0,4280.0,110.0,35.7,1,delanuez23
756,113770-36,"Provider of three dimension interactive software designed to bridge the gap between virtual reality and the real world. The company's three dimension interactive software offer 3D gesture recognition on mobile platforms that combines virtual and augmented reality and the service's massive, innovative power brings the true presence to the Oculus Rift and HTC Vive, as well as to mobile devices with the Samsung GearVR, Google Daydream and Cardboard and also provide inside-out 3D hand tracking as well as 6DOF head position tracking for both mobile and tethered AR/VR systems, enabling businesses to develop their talents with the help of freedom and space provided by the software.",uSens,95110,Electronics (B2C),Chris Shi,2013.0,"ARM Innovation Ecosystem Accelerator, Chalor Capital, Chord Capital, ChuanCheng Fund, Fortune Venture Capital, Fulcrum Capital Group, Great Capital, IDG Capital, IDG Ventures USA, iResearch Consulting Group, Kinzon Capital, LeBox Capital, Maison Capital, Morningside Group, Oriental Fortune Capital, Stone Capital","San Jose, CA",0.593316099471156,9.394167356639723,2016-03-03,20.0,Series A,299.0,4527.0,5519.0,50.0,20.0,1,PURE_N2WiSHiN
759,11318-59,Provider of investment services for bio-fuel industries. The company seeks out renewable stationary power generation and clean fuel assets primarily in North America and has made 18 diversified investments across three investment funds.,US Renewables Group,90404,Energy Exploration,Lee Bailey,2003.0,"Rustic Canyon Partners, Saints Capital","Santa Monica, CA",0.0,2.4054054054054053,2012-07-30,0.06,,89.0,867.0,807.5,20.0,0.06,1,MMitchenor
765,53695-54,Provider of an online platform to book babysitters. The company offers a platform that enables babysitters to post their credentials and availability and parents to search and book sitters online.,UrbanSitter,94104,Social/Platform Software,Lynn Perkins,2011.0,"A-Grade Investments, Aspect Venture Partners, Canaan Partners, DBL Partners, First Round Capital, Menlo Ventures, Primal Ventures, Russell Siegelman, Rustic Canyon Partners","San Francisco, CA",0.3420841726567941,31.68220395888045,2017-03-23,3.58,,1207.0,39893.0,4009.0,296.0,26.53,1,ShaverLakeRE
785,64320-49,"Developer of prosthetic covers designed to restore body symmetry. The company's prosthetic covers are customized with 3D prints and different color combinations, enabling amputees to access stylish life enhancing devices.",Unyq,94111,Other Devices and Supplies,Eythor Bender,2014.0,"Anthony Guilder, Bob Bradley, Center for Translation of Rehabilitation Engineering Advances and Technology, Foundation for Physical Therapy, Graph Ventures, HealthTech Capital, Jim Wirth, Justin Dorfman, New England Pediatric Device Consortium, Pediatric Orthopaedic Society of North America, Robert Dorfman, Seedchange","San Francisco, CA",0.19673184820873518,5.592492144739748,2017-01-11,4.28,Series A,63.0,11483.0,1619.0,20.0,6.65,1,eythorbender
788,52213-96,"Developer of a mobile software which helps in connecting professionals. The company develops an application which connects new people at business events like conferences and tradeshows and provides secure mobile communications for voice, video and data between mobile devices.",Unsocial,91361,Communication Software,Bruce Brown,2010.0,Individual Investor,"Thousand Oaks, CA",-0.0069593515102783395,0.5152259744743164,2012-03-29,1.5,Series A,1.0,383.0,542.0,11.0,1.5,1,brucebrownfilms
789,59198-59,Provider of automated text intelligence tools. The company provides tools for modern search and discovery services. It's analytics engine uses pervasive semantics and machine learning to extract the substance of every document.,Unsilo,8000,Media and Information Services (B2B),Thomas Laursen,2012.0,"Capnova, Infosys, Scale Capital","Aarhus, Denmark",0.34880318229029383,0.3446134680843598,2016-11-18,2.1,,83.0,216.0,149.0,17.0,3.1,1,ThomasMunchLaur
792,95645-26,Provider of a big data systems management platform. The company offers a performance management platform for big data systems and also helps in the management of modern data applications and systems.,Unravel Data Systems,94025,Social/Platform Software,Kunal Agarwal,2013.0,"Cisco Entrepreneurs in Residence, Data Elite, Menlo Ventures","Menlo Park, CA",1.6940901604303296,0.9791705907402296,2016-09-13,7.15,Series A,51.0,106.0,359.0,11.0,7.81,1,iamkunala
807,120681-46,"Manufacturer of fabless semiconductor products designed for new design principles and software algorithms. The company's semiconductor products are high-end system-on-a-chip based on internal next-generation architecture enabling visual, mobile and networking segments to increase their performance and lower development cost and time-to-market of their semiconductor products.",Uniquify,95131,Application Specific Semiconductors,Robert Sheffield,2005.0,,"San Jose, CA",-1.556000170992006,15.36319102816892,2017-01-18,0.25,,1182.0,315.0,127.0,102.0,0.25,1,Robert_CFTL
811,66353-41,"Developer of a cloud-based Data-as-a-Service platform designed to break down the barriers of operational data silos and democratize information across the enterprise. The company's Data-as-a-Service platform is a self-service catalog and preparation tool that makes the entire data preparation process easy, hassle free and can be accessed from multiple sources, enabling end-users to avail convenient self-service of data integration.",Unifi Software,94404,Database Software,Robert Carlson,2014.0,"Canaan Partners, Microsoft Accelerator, Omaha Capital, Pelion Venture Partners, Scale Venture Partners","San Mateo, CA",0.5655689478179251,1.2196676938018132,2017-03-14,4.0,,24.0,135.0,1207.0,40.0,31.95,1,robertshomebrew
826,108569-98,"Provider of cloud-based artificial intelligence services designed to offer video security. The company's self-learning smart security camera Umbo SmartDome, works without recorders and can be managed across different locations, enabling enterprises and consumers to stay connected with important assets anytime.",Umbo CV,94105,Security Services (B2B),Shawn Guan,2014.0,"AppWorks Ventures, FenestraPro, Mesh Ventures, Plug and Play Tech Center, Wistron","San Francisco, CA",0.16371303879768634,1.3380124176181656,2016-08-23,4.0,,62.0,1574.0,13.0,11.0,2.8,1,ShawnGuan29
829,53302-06,Developer of solar-cell technology. The company has developed a coating product for solar cells designed to increase the energy yield over the lifespan of the cell deployment.,UltraSolar Technology,95054,Alternative Energy Equipment,Santosh Kumar,2009.0,"Bessemer Venture Partners, Icon Ventures, Raj Sandhu, Veddis Ventures","Santa Clara, CA",0.0,0.15553026444699253,2011-10-20,4.35,Series A1,10.0,2.0,28.0,11.0,5.4,1,santosh79
838,54132-49,"Provider of computer coding education to kids. The company provides kids aged between 6 to 19 a place to learn how to write software through its in-person learning centers. Through these programs, kids get to create apps, websites, games, and robots.",UCode,90254,Educational and Training Services (B2C),Scott Mueller,2008.0,"Bam Ventures, Bloomberg Beta, Frontier Venture Capital, Idealab, Joanne Wilson, Michael Yang, Third Kind Venture Capital","Hermosa Beach, CA",0.0571513577967714,1.7015944305185278,2016-05-04,1.7,,58.0,2491.0,201.0,51.0,4.45,1,appletree
840,61474-78,"Provider of cloud based processing platform designed to unify real-time analytics and dynamic visualizations. The company's processing platform drive consumption of advanced insights throughout the enterprise, enabling scientists and analysts to produce repeatable insights that regular business users can digest easily, so they can make rapid, informed decisions.",Ubix(Processing Platform),92675,Social/Platform Software,Mark McNally,2011.0,"Frost Data Capital, Voyager Capital","San Juan Capistrano, CA",0.022076193029139247,2.3053636869314835,2016-05-25,3.48,,83.0,867.0,807.5,10.0,8.13,1,mrkmcnally
850,51136-75,"Provider of a location-based mobile application designed to connect riders and transportation providers. The company's on-demand ride-hailing application allows passengers to request a variety of personal transportation options that are fulfilled by a network of contract drivers, enabling users to have access to a convenient, fast and affordable mode of transportation.",Uber Technologies,94103,Social/Platform Software,Travis Kalanick,2009.0,"ACE & Company, Adam Leber, A-Grade Investments, Alfred Lin, Ali Partovi, American Funds Insurance Series, Axel Springer, Babak Nivi, Baidu, Bank of America Merrill Lynch, Benchmark Capital, Bennett Coleman and Company, Bezos Expeditions, Bill Trenchard, BlackRock Private Equity Partners, Bobby Yazdani, Brand Capital, Brian Chesky, Bryan Johnson, Capital Factory, Caspian Venture Capital, China CITIC Bank, China Life Insurance, Cota Capital, Cross Culture Ventures, CrunchFund, Cyan Banister, David Cohen, David Sacks, Didi Chuxing, Diego Berdakin, Dragoneer Investment Group, Dror Berman, Eastlink Capital, Emil Capital Partners, Eric Paley, Fabrice Grinda, Fidelity Investments, First Round Capital, FJ Labs, Foundation Capital, Founder Collective, Frees Fund, FS Investors, Gary Vaynerchuk, General Atlantic, Geodesic Capital, GIC, Glade Brook Capital Partners, GSV Ventures, Guangzhou Automobile, GV, Hartford Financial Services Group (Mutual Fund Business), HDS Capital, Hillhouse Capital Management, i/o Ventures, Industry Ventures, Innovation Endeavors, James Pallotta, Jason Calacanis, Jason Port, Jeffrey Bezos, Jeremy Stoppelman, John Hancock Investments, Josh Spear, K2 Global, Kaiser Permanente, Kapor Capital, Kees Koolen, Kevin Hartz, Khaled Helioui, Kleiner Perkins Caufield & Byers, Kumpulan Wang Persaraan of Malaysia, Lead Edge Capital, LetterOne, Level Ventures, Lone Pine Capital, Lowercase Capital, Mark Hager, Matthew Ocko, Menlo Ventures, Microsoft, Mike Walsh, Moneytime Ventures, Morgan Stanley, Naval Ravikant, New Enterprise Associates, Nihal Mehta, Norwest Venture Partners, Olive Tree Capital, Optimum Asset Management, Oren Michels, Ping An Insurance Group Company of China, PRINCIPAL Mutual Fund, Putnam Investments, Qatar Investment Authority, Raptor Group, Robert Brannigan, Robert Hayes, RocketSpace, Saudi Arabia's Public Investment Fund, Sberbank of Russia, Scott Banister, Scott Belsky, Shawn Carter, Shawn Fanning, Sherpa Capital, Shervin Pishevar, Shumway Capital Partners, SignalFire, Signatures Capital, Square Peg Capital, Structure Capital, Summit Partners, Sway Ventures, Swordfish Investments, T. Rowe Price, Tao Capital Partners, Tata Capital, Techstars, Tengelmann Ventures, The Goldman Sachs Group, The Vanguard Group, Tiger Global Management, Times Internet, Toyota Motor, TPG Growth, Troy Carter, Tusk Ventures, United Services Automobile Association, USM Holding, Valiant Capital Partners, Variable Annuity Life Insurance Company, Zachary Bogue","San Francisco, CA",0.7192518010479179,4715.24244069314,2017-04-19,4.0,Corporate,52778.0,11071552.0,767484.0,12000.0,14688.06,1,TKalanick
851,54122-68,Provider of media coverage and social media management software. The company's software is a browser-based SaaS (software as a service) which provides an overview of opinions expressed on media channels.,Uber Metrics,10178,Social/Platform Software,Patrick Bunk,2011.0,"German Accelerator, High-Tech Gründerfonds, Klingel Group, K-New Media","Berlin, Germany",0.05642405712413772,1.214279810392559,2013-03-06,4.0,Series A,8.0,1371.0,961.0,26.0,0.37,1,patrickbunk
854,57322-72,"Provider of mobile applications designed to drive connectivity, fuel transformation and help companies to grow and innovate. The company's mobile application offers data driven services enabling users to have customized access to the social internet.",U2opia Mobile,122018,Application Software,Sumesh Menon,2011.0,"Matrix Partners India, Omidyar Network","Gurgaon, India",-0.25775035281774183,1.914432979668794,2011-09-29,4.0,Series A,107.0,1055.0,199.0,117.0,6.6,1,mobisimo
862,107592-22,"Provider of market research analytical tool for businesses. The company offers market research services based on consumer credit card transaction information and feedback which enables the merchants to get insight about themselves, their customers, competitors and partners.",TXN Solutions,94105,Business/Productivity Software,Jonathan Wolf,2013.0,"Andreessen Horowitz, Auren Hoffman, Bloomberg Beta, General Catalyst Partners, Homebrew, Jeffrey Zwelling, Ooga Labs, Social Starts, SV Angel, Tenfore Holdings","San Francisco, CA",0.06915299273574309,0.32630288726456746,2015-06-23,4.0,,4.0,224.0,287.0,5.0,6.6,1,jonathanwwolf
871,112835-62,"Provider of a cloud-based container security platform created to maximize the benefits of virtual containers in the production environment. The company's security platform is an agentless architecture that utilizes advanced threat intelligence and machine learning, enabling organizations to consistently enforce security policies, monitor and audit activity as well as identify and isolate threats in a container or a cluster of containers.",Twistlock,94105,Network Management Software,Ben Bernstein,2015.0,"Dell Technologies Capital, Polaris Partners, Rally Ventures, Ten Eleven Ventures, YL Ventures","San Francisco, CA",1.7555556346468582,8.048721249937168,2017-04-25,17.0,,541.0,17.0,980.0,15.0,29.5,1,BenBernstMusic
877,160579-09,"Provider of an online event management platform. The company provides event planning and people management skill for baby birthday parties, wedding showers, large and small events.",Twentyeight-Seven,91345,Application Software,Jenny Ramos,2015.0,MPM Capital,"Mission Hills, CA",0.0,0.08292764814503945,2016-04-05,1.0,Series A,2.0,89.0,807.5,18.0,1.0,1,jensonamission
878,54349-03,"Provider of a marketplace of crowdsourced imagery. The company connects brands and creative agencies with authentic, real-world imagery crowdsourced from users around the world, helping the brands continually use new content and the photographers to monetize their work.",Twenty20,90292,Social/Platform Software,Matt Munson,2011.0,"Ayaz ul Haque, Boris Wertz, Bullpen Capital, Canaan Partners, First Round Capital, Founders Fund, Meyer Malka, Michael Liou, Mike Jones, Mucker Capital, Newbury Ventures, Rising Tide Fund, Roham Gharegozlou, Scott Banister, Velos Partners, Version One Ventures","Marina del Rey, CA",1.3688824964454493,86.54979582962265,2014-10-09,8.0,Series A,4008.0,42386.0,25177.0,26.0,9.82,1,mattmuns
884,62689-15,Provider of media and entertainment services. The company provides broadband television programming and production services.,TV4 Entertainment,90404,"Broadcasting, Radio and Television",Michael Haugh,2012.0,"Individual Investor, Sky Startup Investments & Partnerships, Warner Bros. Entertainment","Santa Monica, CA",-0.01548919257288363,7.634829199659707,2015-12-03,0.3,,18.0,1908.0,9627.0,29.0,5.3,1,mhaugh_haugh
890,111254-32,"Developer of a collaborative logistics platform designed to revolutionize the way things move by creating a standard way to share, communicate and collaborate in real time. The company's Turvo platform connects shippers, brokers and carriers to work together across the entire supply chain, enabling businesses make smarter, faster and more informed decisions.",Turvo,94086,Communication Software,Eric Gilmore,2014.0,"Aaron Levie, Activant Capital Group, Anthony Fadell, Felicis Ventures, Kevin Nazemi, Ravi Venkatesan, Slow Ventures, Upside Partnership","Sunnyvale, CA",1.430965571466355,0.7846410338119992,2017-03-28,25.0,Series A,46.0,140.0,130.0,50.0,28.6,1,EricGilmore17
902,62721-19,"Manufacturer of semiconductor chips. The company is a manufacturer of semiconductors that include analog/mixed-signal, deep-submicron, high-voltage BCDMOS, and SOI for power management applications.",TSI Semiconductors,95747,General Purpose Semiconductors,Roger Lee,1903.0,"Somerset Group, Wafra Investment Advisory Group","Roseville, CA",0.0,0.8108108108108109,2015-07-31,4.0,,30.0,867.0,807.5,201.0,6.6,1,RLee066
906,53676-55,"Manufacturer of non-invasive intoxication measurement systems designed to enhance work-site safety. The company's non-invasive intoxication measurement systems offer accurate bio-metric alcohol test results, enabling clients to verify fitness of employees at work.",TruTouch Technologies,01776,Other Commercial Products,Daniel Sullivan,2004.0,"Boston Harbor Angels, DataPoint Ventures, Desert Angels, Flywheel Ventures, Fort Washington Capital Partners Group, Individual Investor, InLight Solutions, Internal Revenue Service, iTulip, Jerome Capital, KS Centoco, Launchpad Venture Group, New Mexico Community Capital, Omphalos Venture Partners, Synergy Ventures, Telemedicine and Advanced Technology Research Center, Verge Fund","Sudbury, MA",0.0,1.0948967601141515,2017-05-24,0.5,,79.0,44.0,807.5,11.0,12.78,1,DJSullySullivan
