,Company ID,Description,Company Name,HQ Post Code,Primary Industry Code,Primary Contact,Year Founded,Active Investors,HQ Location,Growth Rate,Size Multiple,Last Financing Date,Last Financing Size,Last Financing Deal Type 2 ,Majestic Referring Domains,Facebook Likes,Twitter Followers,Employees,Total Raised,VC_invested,Twitter_Username
236,51119-56,"Provider of a location-based marketing platform designed to drive sales. The company's location-based marketing platform offers in-store visitation insights by market, brand and specific competitors, enabling marketers to close the gap between online activities and offline sales.",xAd,10007,Business/Productivity Software,Stephen McCarthy,2001.0,"Acumen Venture Partners, Arcturus Capital, Emergence Capital Partners, Eminence Capital, IVP, Microsoft Ventures, Palisades Growth Capital, Plug and Play Tech Center, Poole Investment Ventures, SharesPost, Silicon Valley Bank, Smac Partners, SoftBank Capital, Sorrento Associates, Tech Coast Angels, W Capital Partners","New York, NY",0.12214617478768643,14.710723746169583,2016-12-10,4.0,,851.0,2054.0,3620.0,325.0,132.49,1,McCarthy_StephT
280,60266-26,"Developer of a real-time web-analytic tool. The company offers a platform that provides real-time customer analytics and customer engagement services and helps businesses to track, analyze, and take action on live customer data.",Woopra,94103,Media and Information Services (B2B),Elie Khoury,2007.0,"Individual Investor, MENA Venture Investments, Wamda Capital","San Francisco, CA",-0.008329895706936874,56.08483263766978,2012-01-01,4.0,Series A,3501.0,13306.0,6572.0,11.0,6.6,1,eliekhoury
282,103623-22,"Developer of an on-demand staffing platform. The company removes the friction for companies to find talent for on-demand hourly or daily job needs, while creating freedom through flexibility for job seekers.",Wonolo,94102,Human Capital Services,Yong Kim,2013.0,"Aslanoba Capital, Brad Garlinghouse, Coca-Cola Founders, CrunchFund, David Butler, Drummond Road Capital, Eric Ries, Foundry Group, Haystack, Jeff Heitzman, Marc Bell Capital Partners, Morris Wheeler, PivotNorth Capital","San Francisco, CA",2.8874620761464187,6.101241003083302,2016-01-25,5.73,Series A,173.0,3588.0,3642.0,67.0,7.93,1,yongkookkim
286,52939-09,"Provider of search engine and directory services for how-to videos. The company aggregates community-submitted links and reviews of how-to video from across the Internet related to beauty, art, crafts, science and lifestyle.",WonderHowTo,90402,Social/Platform Software,Bryan Crow,2008.0,"General Catalyst Partners, Individual Investor","Santa Monica, CA",-0.3121193188985311,286.4592323374011,2008-01-30,4.0,Series A,19954.0,34719.0,9847.0,3.0,0.5,1,BryanTheCrow
289,65614-78,Developer of an e-gift card application. The company offers an online marketplace that allows users to discover and purchase e-gift cards from national retailers and local specialty stores.,Wonder Technologies,94010,Social/Platform Software,Gerry Goldstein,2012.0,"Bill Glass, Bril Flint, Central Texas Angel Network, David Perry, Eran Goren, F50, Houston Angel Network, Individual Investor, Joe Canterbury, K5 Ventures, Michael Margolies, Mosaik Partners, Robin Pimentel, Rui Pereira, Tech Coast Angels, Texas Halo Fund","Burlingame, CA",0.005254542192110152,1.0344671416336855,2016-05-24,4.0,,49.0,1191.0,3.0,14.0,2.1,1,gergoldstein
297,54930-16,Provider of wireless entertainment software. The company develops online and mobile phone games.,WiSTONE Wireless Entertainment,100102,Entertainment Software,Jing Nie,2006.0,"Chengwei Capital, IDG Capital, Trustbridge Partners","Beijing, China",1.4784486829605228,6.0,2015-03-02,4.0,,219.0,867.0,807.5,160.0,10.0,1,JingNie2002
304,56361-43,"Provider of a social news reader software designed to deliver news and insight for workforce. The company's social news reader software offers a powerful alternative via a personalized, curated list of stories for each employee, which allows professionals find and share important reads with their coworkers.",Wiser,10004,Publishing,Sandeep Ayyappan,2011.0,"Actinic Ventures, FirstGrowth Venture Network, Mogility Capital, New Coast Ventures, NextNews Ventures, Plug and Play Tech Center, Thomas Glocer, TimeSpace, Tom Rutledge, WeWork, Zachary Aarons","New York, NY",-0.027591307316609647,0.36372399086105794,2016-06-01,4.0,,6.0,71.0,369.0,8.0,6.6,1,sayyappan
306,168652-54,"Operator of an online media platform in the United States. The company provides a web platform which is engages in providing the deeper meaning of a variety of movies, TV shows, video games and music.",Wisecrack,90027,Information Services (B2C),Jacob Salamon,2014.0,"Brett Hurt, Gregg Spiridellis, Steve Bornstein, Third Wave Digital","Los Angeles, CA",8.545458530841294,91.56478794828095,2016-11-22,1.0,,857.0,234621.0,8337.0,18.0,1.0,1,jacobsalamon
316,58447-00,"Operator of a private club and a menswear shop. The company sells men's clothing, accessories, wine, cigar, gifts and also offers club memberships.",WingTip,94111,Specialty Retail,Ami Arad,2002.0,"Individual Investor, Jonathan Abrams","San Francisco, CA",0.02963088455630486,6.0695599536793345,2006-07-15,0.25,Series A,83.0,7048.0,1196.0,11.0,0.25,1,amielarad
332,51341-59,Provider of an online community for people to collaboratively publish content on the web. The company's platform allows its users to form new communities around any subject they want to participate by reading or contributing new content.,Wikia,94107,Social/Platform Software,Bud Austin,2004.0,"Amazon.com, Bessemer Venture Partners, Dan Gillmor, Delta-v Capital, Digital Garage, Endeavour Partners, First Round Capital, Gil Penchina, IVP, Joichi Ito, Mitchell Kapor, Nobuyuki Idei, Omidyar Network, Reid Hoffman, Suneight, SV Angel, Tose Company, Tugboat Ventures","San Francisco, CA",2.9969857035460863,142.62266469016652,2016-12-23,10.0,,6441.0,168053.0,131.0,313.0,52.79,1,Yo_bud_Austy
