,Unnamed: 0,Company ID,Description,Company Name,HQ Post Code,Primary Industry Code,Primary Contact,Year Founded,Active Investors,HQ Location,Growth Rate,Size Multiple,Last Financing Date,Last Financing Size,Last Financing Deal Type 2 ,Majestic Referring Domains,Facebook Likes,Twitter Followers,Employees,Total Raised,VC_invested,Twitter_Username,analytical,confident,tentative,anger,disgust,fear,joy,sadness,agreeableness_big5,conscientiousness_big5,emotional_range_big5,extraversion_big5,openness_big5
0,6,62229-34,"Developer of animated, interactive learning material for college education. The company provides interactive online textbooks, as an alternative to conventional paper books. The books are designed for use by students of college STEM (science, technology, engineering and math) programs.",Zyante,95031,Publishing,Smita Bakshi,2012.0,"Bialla Venture Partners, National Science Foundation, TA Ventures, TEC Ventures","Los Gatos, CA",0.0789525067407773,0.7600677264273432,2016-02-10,4.0,Series A,83.0,612.0,267.0,32.0,4.0,1,sbaksh,0.3098705,0.0,0.2315885,0.076046,0.0454675,0.0536005,0.5325965,0.3536455,0.6084465,0.3467895,0.447831,0.567102,0.2284625
1,8,117491-32,Provider of interactive fitness entertainment platform. The company is a cycling community built on gaming software that connects to indoor training. It has built software that from the comfort of user's own home or local gym allows to feel like they are riding alongside road.,Zwift,90802,Entertainment Software,Eric Min,2014.0,"COLOPL, Max Levchin, Novator Partners, Samchuly Bicycle Company, Shasta Ventures, Waypoint","Long Beach, CA",0.1439398282711237,73.10715596900194,2016-11-16,27.0,Series A,471.0,158746.0,24569.0,70.0,45.0,1,notEricMin,0.17228833333333335,0.0,0.8583743333333334,0.18047966666666668,0.26576700000000003,0.11263,0.2623453333333333,0.30783366666666667,0.5320053333333333,0.22285400000000002,0.3733896666666667,0.3954573333333333,0.4277586666666666
2,10,103593-34,"Developer of a mobile-based browsing application. The company's browsing application offers a social tool, enabling users to browse web with real-time voice and chat with their friends and also allows them to leave a sticky note on any item on any website that they can then comment on.",Zurf,94107,Social/Platform Software,Shahin Shadfar,2013.0,"Bobby Yazdani, Geekdom SF, Signatures Capital","San Francisco, CA",-0.08894167604666348,0.4797861130948824,,4.0,,25.0,166.0,127.0,6.0,6.6,1,sshadfar,0.4906995,0.0,0.117288,0.082243,0.0575445,0.10295099999999999,0.31435650000000004,0.416354,0.3640145,0.3182605,0.500121,0.400947,0.10947599999999999
3,14,148845-52,Provider of pizza services with help of robots. The company is engaged in production and door to door delivery of artisan pizzas for which it uses robots and machine intelligence.,Zume Pizza,94043,Food Products,Julia Collins,2015.0,"AME Cloud Ventures, Kortschak Investments, Maveron, SignalFire","Mountain View, CA",1.1711141846496187,3.1109121017006056,2016-12-07,22.69,,155.0,1986.0,562.0,18.0,22.69,1,JuliaRivka,0.0,0.0638987,0.3727412,0.0665572,0.0943698,0.1430735,0.6079846,0.28008489999999997,0.8449118999999999,0.8408377,0.5788078999999999,0.8883367,0.28480230000000006
4,16,104840-56,Provider of services in order to help startup companies to launch. The company provides services and technological support to help entities to build from ideation to launch independently.,Zuma Ventures,90401,Other Commercial Services,David Carter,2014.0,"Aaron Hirschhorn, Burns Israelsen, Derek Smith, EPIC Ventures, Ildar Fazulyanov, Jeff Danley, Jonathan Hung, Karl Israelsen, Kelly Perdew, Michael Liou, Rani Aliahmad, Richard Wolpert, Rick Barry, Vince Thompson","Santa Monica, CA",0.1312634040167244,0.5963347967401025,2014-08-28,0.1,,18.0,572.0,246.0,15.0,0.1,1,_davidcarter,0.215549,0.0,0.6469415000000001,0.0650905,0.056859,0.052430000000000004,0.3746885,0.253865,0.6453825,0.40184949999999997,0.654527,0.824281,0.43452199999999996
5,30,51667-66,"Operator of an online social dating application designed to empower everyone to lead a more fulfilling love life. The company's social dating application offers mobile services and a downloadable desktop application through its website that provides online dating experience by utilizing its behavioral matchmaking algorithm and user's clicking activity, enabling individuals to find the person and relationship that is right for them.",Zoosk,94103,Social/Platform Software,Kelly Steckelberg,2007.0,"Amidzad Partners, ATA Ventures, Bessemer Venture Partners, Canaan Partners, Crosslink Capital, Crossroads Capital, Fábrica De Startups, Jeffery Epstein, Plug and Play Tech Center, Saeed Amidi","San Francisco, CA",0.39517093809580295,4439.119137244414,2015-05-04,100.0,,3863.0,13091919.0,454511.0,134.0,62.25,1,ksteckel,0.464885,0.0,0.08525333333333333,0.051758000000000005,0.07952166666666667,0.22483166666666665,0.4868083333333333,0.18417133333333333,0.8559946666666667,0.785466,0.6026029999999999,0.717212,0.464342
6,31,98515-45,"Provider of a communication platform. The company's platform helps organizations to gather rich media content and organize into trackable, online presentations and pages for sales, recruiting and learning and development purposes.",Zoomforth,94103,Communication Software,Christopher Murphy,2012.0,"500 Startups, 555 Capital, Bodley Group, Crosslink Capital, Indicator Fund, Robert Chang","San Francisco, CA",-0.030915719084500845,0.7011339268524235,2014-08-06,4.0,,16.0,147.0,621.0,6.0,1.43,1,christophroar,0.04771376923076923,0.0,0.4913496153846154,0.31647976923076926,0.13654646153846153,0.1699976923076923,0.5428400769230768,0.5811779230769232,0.46678861538461547,0.08138346153846156,0.16539646153846158,0.3273724615384615,0.16832615384615385
7,58,57224-17,"Developer of a mobile communication platform created to facilitate real-time sharing of information. The company's communication platform combines secure messaging, broadcasts, voice, video, file and location sharing tools in an integrated suite, enabling businesses to disseminate information to their deskless workforce and obtain real-time visibility in the field.",Zinc (Communications Technology),94105,Communication Software,Stacey Epstein,2013.0,"Charles River Ventures, Emergence Capital Partners, GE Ventures, Hearst Ventures","San Francisco, CA",7.544179526989359,8.355486400180578,2017-04-17,11.0,Series A2,452.0,91.0,2394.0,41.0,31.5,1,staceyepstein,0.176332625,0.12124937499999999,0.19987275,0.085168625,0.08555775,0.095250875,0.610711875,0.306215625,0.702184625,0.6746762499999999,0.77596325,0.87924875,0.3262995
8,70,51252-67,"Provider of enterprise cloud storage solutions for enterprise information technology (IT) professionals. The company is compatible with existing on-premise storage systems and integrates with existing IT workflows. It delivers data availability, integrity, and security protections. Zetta's enterprise-class architecture guarantees availability and integrity even in the event of multiple complete node failure from any cause, whether network, power supply, memory, or disk failure. Enterprise customers include a variety of industries such as legal services, education, business services, financial services, media and entertainment, as well as software and technology.",Zetta,94089,Database Software,Chris Carney,2008.0,"Amidzad Partners, Bobby Yazdani, Foundation Capital, Industry Ventures, Jackson Square Ventures, Pejman Nozad, Plug and Play Tech Center, Sigma Partners, Signatures Capital","Sunnyvale, CA",0.025497771702973127,9.183538926335537,,4.0,,593.0,299.0,1488.0,41.0,42.42,1,chrisncarney,0.1958825,0.0,0.203039,0.09593950000000001,0.099549,0.129942,0.31395249999999997,0.146603,0.466518,0.325377,0.481777,0.7283835000000001,0.31527649999999996
9,72,178328-98,"Provider of an ecological technology platform intended to transform green vegetal waste into pellets that can be burnt efficiently in boilers, replacing traditional fossil resources. The company's waste management technology platform aims to produce a green and clean source of energy where negligible waste material remains after the pellets are burnt enabling users with a raw material without any ecological side-effects and where rudimentary vegetal waste becomes a fuel.",ZETA Pellet,06600,Energy Production,Etienne Frank,2010.0,"Bpifrance, Starquest Capital","Antibes, France",0.0,1.054054054054054,2013-11-23,1.35,,39.0,867.0,807.5,10.0,1.35,1,etienne_sevin,0.02119278571428571,0.05553821428571428,0.010768142857142856,0.06199442857142857,0.08564142857142856,0.09093507142857142,0.5521737142857143,0.2310417857142857,0.601524857142857,0.1421754285714286,0.12479714285714287,0.46701985714285715,0.1543425714285714
10,75,57702-70,"Provider of an on-demand food ordering application. The company is the creator of a mobile-based application for ordering and purchasing entrees from a curated list of local restaurants, prepared as per demand and delivered via the restaurant's own takeaway service.",Zesty,94103,Application Software,Chris Hollindale,2012.0,"500 Startups, Andrew Bredon, Andrew McCollum, Arin Maercks, Christina Brodbeck, Chrys Bader, Darius Contractor, David Nemetz, Dilan Jayawardane, Fabrice Grinda, FJ Labs, Forerunner Ventures, Founders Fund, FundersClub, Great Oaks Venture Capital, Index Ventures (UK), Jared Friedman, Jeremy Yap, Jermaine O'Neal, Jonathan Swanson, Joshua Reeves, Jugoslav Petkovic, Kevin Mahaffey, Klaus von Sayn-Wittgenstein, Mark Scianna, Owen Van Natta, Passion Capital, Paul Buchheit, Sanford Dickert, Structure Fund, Sumon Sadhu, SV Angel, The International Conclave of Entrepreneurs, Walking Ventures, XG Ventures, Y Combinator, Zachary Auger, Zak Holdsworth","San Francisco, CA",2.761076787557476,6.0695468655306515,2015-07-10,20.7,Series A,348.0,1953.0,750.0,94.0,20.7,1,chrishol,0.16769888888888893,0.0,0.4548097777777777,0.11367416666666667,0.09568122222222224,0.08352727777777777,0.6576322777777777,0.4252769444444444,0.5080978888888891,0.24783816666666672,0.4883841666666668,0.47878183333333335,0.3861956111111111
11,85,121487-32,"Provider of a data collection application designed to keep data up-to-date and to improve productivity. The company's data governance tool offers an online mobile software which makes data entry in Salesforce efficient, enabling users to log calls, create leads, scan business cards, collect information, manage tasks, calendar events, and more on the go, even offline, without typing.",Zero Keyboard,00170,Database Software,Jaan Apajalahti,2013.0,"Blackbox, Elina Piispanen, Fluido, Jari Mielonen, Jouko Virtanen, NewCo Helsinki Accelerator, Takeoff Partners, Tekes, Thomas Johanson","Helsinki, Finland",0.19311002928409707,0.6167735532142311,2015-09-18,0.6,,10.0,867.0,337.0,8.0,0.83,1,apajalahti,0.163584,0.0,0.2329735,0.073034,0.050779,0.132206,0.512609,0.17459750000000002,0.3297985,0.2763545,0.5503635,0.53544,0.27838799999999997
12,98,61363-18,Developer of a data aggregation application. The company develops a mobile application that allows enterprises and individuals to collect and aggregate product data.,Zenput,94103,Application Software,Vladik Rikhter,2011.0,"MHS Capital, Version One Ventures","San Francisco, CA",0.22467984597889865,1.229025364452778,2016-09-22,4.33,,71.0,280.0,238.0,12.0,5.83,1,vrikhter,0.10893216666666666,0.0,0.7224385000000001,0.09426666666666667,0.07471933333333332,0.10617116666666666,0.5177231666666666,0.3579775,0.5678038333333333,0.6467963333333333,0.7832848333333334,0.743182,0.3083365
13,107,103227-31,Developer of a medical device to treat enlarged prostate. The company engages in the development and sale a medical device which can be used by doctors to treat of benign prostatic hyperplasia.,Zenflow,94080,Therapeutic Devices,Nick Damiano,2014.0,"Astia, David Zhao, Dorm Room Fund, Farzad Nazem, Golden Seeds, IDrive Ventures, Joyo Wijaya, MedTech Innovator, National Collegiate Inventors and Innovators Alliance, National Science Foundation, NewDo Venture, Nicholas Mourlas, Paul Buchheit, Roger Bamford, Stanford Biodesign, StartX, SV Tech Ventures, Varsity Ventures, Vijay Mani, Vikas Gupta, Vincent Lo, Wei Guo, Y Combinator","San Francisco, CA",0.0,0.3894722204044238,2015-06-01,0.12,,25.0,23.0,63.0,4.0,3.76,1,nickd717,0.3456035,0.0,0.742818,0.0483175,0.044572,0.0547275,0.7517075,0.099272,0.520317,0.5299325,0.655655,0.7729705,0.6210485
14,118,125099-65,"Provider of a social media platform that focuses on helping students transition from high school to college by empowering them to share their unique story through video in the application process and connect them through exclusive communities prior to and during their college experience. ZeeMee is the first and only professional social media platform to be exclusively requested by over 200 colleges/universities in their application. ZeeMee offers the opportunity for students to engage with peers once they decide on a school, find roommates, meet others in the programs and use a school-specific chat function. ZeeMee's vision is to provide all students utility services on our platform throughout their college career and beyond.",ZeeMee,94040,Application Software,Adam Metcalf,2014.0,"BlueRun Ventures, Elixir Capital, Malaysia Venture Capital Management","Redwood City, CA",0.9688221197224108,7.791270181119112,2015-09-30,5.8,Series A,412.0,2486.0,1979.0,17.0,5.8,1,adammackmetcalf,0.20445866666666665,0.20120333333333332,0.027262666666666668,0.05374133333333333,0.071499,0.050800000000000005,0.7291059999999999,0.23760666666666666,0.9439126666666665,0.985074,0.7585600000000001,0.9604833333333334,0.28054766666666664
