,Company ID,Description,Company Name,HQ Post Code,Primary Industry Code,Primary Contact,Year Founded,Active Investors,HQ Location,Growth Rate,Size Multiple,Last Financing Date,Last Financing Size,Last Financing Valuation,Last Financing Deal Type 2 ,Majestic Referring Domains,Facebook Likes,Twitter Followers,Employees,Total Raised,days_since_offer,vc_invest,Twitter_Username
493,163077-22,"Provider of an identity and access management platform. The company designs and develops digital keys and security software via Blockchain for devices, facilities and businesses.",UniquID,94103,Network Management Software,Stefano Pepe,2015.0,"Alchemist Accelerator, Runway Incubator, Seeweb","San Francisco, CA",0.0,0.13968850680346628,2016-04-07,0.05,,,4.0,87.0,79.0,7.0,0.05,428,0,stefanopep3
503,103263-31,Provider of a community-driven social shopping marketplace. The company provides a platform to purchase and share products that are all under $100 in price.,Under 100,94105,Internet Retail,Cole Glass,2014.0,,"San Francisco, CA",-0.03170960965877596,1.906205845281011,2014-04-22,0.05,,Seed,5.0,33.0,2589.0,3.0,0.05,1144,0,Cole_Glass_24
521,125629-57,Provider of a customer service management platform. The company's platform leverages smartphones to allow enterprises to offer better customer support services through features such as Interactive Visual Response and Virtual Queuing.,Ubicall,94025,Social/Platform Software,Khaled Nazif,2014.0,Alchemist Accelerator,"Menlo Park, CA",0.0,0.36127451538284255,2016-01-21,0.04,,,25.0,55.0,9.0,7.0,0.04,505,0,knazif
527,95340-61,Manufacturer of human interface devices and mobile accessories. The company designs and manufactures detachable keyboard for mobile phones and tablet devices.,Typo Innovations,90024,Electronics (B2C),Ryan Seacrest,2013.0,,"Los Angeles, CA",-0.132914801884491,0.3045998440803157,2013-12-06,1.0,,Seed,8.0,353.0,123.0,7.0,1.0,1281,0,RyanSeacrest
544,148076-83,"Provider of a suite of productivity tools for email, chat and task management. The company offers cloud based software tools for professionals to help them with daily tasks such as email, chat, tasks, calendar, contacts and notes.",Turing Technology,94062,Business/Productivity Software,Stewart Dennis,2014.0,"Reid Dennis, Timothy Draper","Woodside, CA",0.0,0.8055810047335471,2015-04-24,0.36,6.83,Seed,56.0,381.0,24.0,7.0,0.36,777,0,macgregordennis
549,158245-93,Provider of an peer-to-peer import marketplace. The company offers an online shopping platform for overseas products which connects travelers and shoppers around the world.,Tudott,92058,Social/Platform Software,Miranda So,2015.0,,"Oceanside, CA",0.0,0.10810810810810811,2016-05-01,0.3,,Angel,4.0,816.0,425.5,7.0,0.3,404,0,TheOscarMiranda
550,95500-09,Operator of an online crowdfunding platform. The company provides subscription based crowdfunding services for online film and video creators. It helps the digital video creators to raise money for their videos from their fans and followers.,TubeStart,90403,Other Financial Services,Josef Holm,2013.0,Vet-Tech Accelerator,"Santa Monica, CA",-0.6101564473261646,6.351351351351352,2013-06-03,0.6,,Seed,234.0,2783.0,24347.0,11.0,0.6,1467,0,josefholm
576,57049-03,"Provider of a gaming platform. The company offers recreational activities that are recorded and uploaded, virtual communities that connect through social gaming, and live events that become part of a TV franchise format.",TRIXandTRAX,90254,Entertainment Software,Alejandro Rojas,2012.0,"MIT NextLab, Start-Up Chile, Wayra","Hermosa Beach, CA",-0.009713132888594753,13.087352130001356,2013-08-23,0.04,,,28.0,35798.0,2254.0,7.0,0.09,1386,0,alex_rojas6
585,102751-21,"Operator of an investment arm to fund the acquisition of oil producing properties. The company operates an investment vehicle to fund the acquisition of oil producing properties, oil exploration opportunities and the capital expenditures to increase oil production on acquired properties.",Trinity Energy Group,92612,Other Energy Services,Mike Pugh,2011.0,,"Irvine, CA",0.0,0.10810810810810811,2014-02-10,0.2,,Angel,4.0,816.0,425.5,7.0,0.2,1215,0,MikePugh
613,166369-15,Provider of a platform to connect travelers with travel agents. The company provides an online intermediary platform to connect customers to local and international travel agents that help them to manage travel needs such as hotel and flight booking and make online payments.,TravelJoy,94107,Social/Platform Software,Dayo Esho,2016.0,NFX Guild,"San Francisco, CA",0.1590031545960918,0.5216048346483129,2016-09-07,0.12,1.71,,5.0,729.0,425.5,7.0,0.12,275,0,dayo
648,133097-86,"Provider of a wealth management platform. The company offers an investment and wealth management platform which takes into account human capital factors such as geography, industry, health, family and balance sheet for its portfolio recommendation.",Totum,90211,Social/Platform Software,Min Zhang,2015.0,Ynext Incubator,"Beverly Hills, CA",0.14712540208380687,3.125882145963207,2015-11-10,0.02,,,53.0,455.0,3218.0,7.0,0.46499999999999997,577,0,minzcfa
650,65162-44,"Developer of an online platform that helps users to manage their social media updates and news. The company also allows users to create a board to show all updates, news, photos, videos, marketing campaigns of new products.",TotallyDot,90401,Other Commercial Services,Arjan Raaf,2011.0,"Arjan de Raaf, Bay Area Holding, Bogusia Riebandt, Cezary Wlodarczyk, Digital Content Holding, Individual Investor","Santa Monica, CA",-0.03342475311587725,31.74348556367716,2015-06-13,0.05,,Seed,17.0,9347.0,40532.0,4.0,0.35,727,0,AJdeRaaf
662,156925-63,Provider of a mobile platform to find real time lowest price for hair cuts and hair styling services. The company specializes in providing a reverse auction technology platform where users can find real time lowest price for hair cuts and hair styling services.,Toolow,94801,Application Software,Kiet Nguyen,2015.0,,"Richmond, CA",-0.0903002485811323,0.17502750408056228,2016-04-11,0.05,,Angel,3.0,26.0,179.0,7.0,0.05,424,0,KietNguyen7
672,157416-85,Provider of a mobile ticket booking application intended to help riders pay for transit via a mobile application. The company's mobile ticket booking application helps the users to pay for transit through credit card and use bus passes with their smart phone enabling them easily pay for public transit so that they can most efficiently reach their destination.,Token Transit,94110,Application Software,Morgan Conbere,2015.0,Y Combinator,"San Francisco, CA",0.0,0.11677018633540373,2017-03-20,0.12,1.71,,25.0,93.0,425.5,7.0,0.12,81,0,mconbere
