Place,County,Population,Population Density,Per_capita_income,median_household_income,median_family_income
Lennox,Los Angeles,"22,039","20,163.8","$12,057","$36,573","$36,126"
Lenwood,San Bernardino,"3,153","1,424.1","$16,243","$42,727","$57,232"
Leona Valley,Los Angeles,"1,697",91.3,"$37,427","$77,582","$79,891"
Lewiston,Trinity,"1,480",74.0,"$24,563","$33,929","$43,750"
Lexington Hills,Santa Clara,"2,367",501.7,"$57,392","$125,893","$147,188"
Likely,Modoc,31,23.3,[7,[7,[7
Lincoln,Placer,"44,397","2,209.6","$32,182","$70,870","$79,017"
Lincoln Village,San Joaquin,"3,996","5,429.3","$23,073","$55,125","$60,521"
Linda,Yuba,"18,634","2,169.5","$14,131","$36,063","$37,872"
Lindcove,Tulare,520,762.5,"$15,402","$45,625","$43,750"
Linden,San Joaquin,"1,948",262.9,"$38,334","$87,585","$83,125"
Lindsay,Tulare,"12,688","4,861.3","$10,678","$30,198","$30,466"
Linnell Camp,Tulare,561,"4,794.9","$6,902","$20,556","$21,278"
Litchfield,Lassen,129,32.7,"$31,985","$49,688","$43,068"
Little Grass Valley,Plumas,0,0.0,[7,[7,[7
Little River,Mendocino,38,22.7,"$24,705",[7,[7
Littlerock,Los Angeles,"2,040","1,106.9","$10,711","$39,745","$39,676"
Live Oak,Santa Cruz,"17,494","5,394.4","$31,432","$64,957","$82,611"
Live Oak,Sutter,"8,500","2,723.5","$16,936","$42,349","$46,758"
Livermore,Alameda,"83,901","3,122.9","$42,594","$99,683","$111,950"
Livingston,Merced,"13,461","3,660.9","$13,604","$50,674","$51,912"
Lockeford,San Joaquin,"3,172",380.3,"$25,079","$45,698","$47,639"
Lockwood,Monterey,389,35.8,"$36,450","$94,615","$75,089"
Lodi,San Joaquin,"63,158","4,619.9","$23,648","$48,662","$54,740"
Lodoga,Colusa,147,43.4,"$31,301","$50,000","$68,333"
Loleta,Humboldt,661,311.2,"$22,226","$41,094","$53,750"
Loma Linda,San Bernardino,"23,648","3,146.4","$31,239","$58,259","$68,223"
Loma Mar,San Mateo,211,121.6,"$32,991","$93,810","$117,813"
Loma Rica,Yuba,"2,537",137.2,"$27,252","$64,615","$68,984"
Lomita,Los Angeles,"20,539","10,747.8","$28,593","$57,245","$66,541"
Lompico,Santa Cruz,900,266.7,"$56,476","$72,215","$98,500"
Lompoc,Santa Barbara,"43,045","3,712.7","$20,151","$47,908","$51,195"
London,Tulare,"2,080","3,306.8","$8,026","$24,816","$25,577"
Lone Pine,Inyo,"2,017",106.0,"$21,830","$31,838","$39,167"
Long Barn,Tuolumne,291,101.1,"$20,712","$24,388",[7
Long Beach,Los Angeles,"468,594","9,315.8","$27,014","$52,944","$59,710"
Lookout,Modoc,67,12.6,"$17,072","$36,635",[7
Loomis,Placer,"6,589",906.8,"$33,354","$82,813","$95,217"
Los Alamitos,Orange,"11,598","2,883.6","$36,367","$82,258","$89,271"
Los Alamos,Santa Barbara,"1,166",301.4,"$36,571","$62,429","$60,625"
Los Altos,Santa Clara,"29,762","4,597.2","$84,705","$157,500","$190,938"
Los Altos Hills,Santa Clara,"8,244",923.8,"$123,127","$224,271",[7
Los Angeles,Los Angeles,"3,862,210","8,240.8","$28,320","$49,682","$54,171"
Los Banos,Merced,"36,626","3,665.2","$17,160","$45,665","$46,748"
Los Berros,San Luis Obispo,908,361.5,"$19,596","$60,958","$61,979"
Los Gatos,Santa Clara,"30,163","2,701.3","$72,050","$122,860","$157,796"
Los Molinos,Tehama,"2,184",995.4,"$18,205","$36,466","$42,990"
Los Olivos,Santa Barbara,913,371.3,"$58,133","$89,667","$129,875"
Los Osos,San Luis Obispo,"14,778","1,157.9","$34,229","$56,860","$72,625"
Los Ranchos,San Luis Obispo,"1,676",592.4,"$47,842","$96,705","$111,296"
Lost Hills,Kern,"2,194",395.2,"$8,418","$31,875","$30,125"
Lower Lake,Lake,"1,620",607.4,"$17,614","$31,781","$54,028"
Loyalton,Sierra,874,"2,462.0","$21,614","$43,000","$46,375"
Loyola,Santa Clara,"3,463","2,399.9","$98,398","$210,882","$238,177"
Lucas Valley-Marinwood,Marin,"6,168","1,077.0","$59,579","$129,389","$145,491"
Lucerne,Lake,"3,318",666.5,"$11,901","$20,784","$35,571"
Lucerne Valley,San Bernardino,"5,767",54.6,"$17,984","$34,024","$46,383"
Lynwood,Los Angeles,"70,789","14,625.8","$12,580","$41,930","$41,332"
Lytle Creek,San Bernardino,"1,127",187.3,"$26,927","$71,000","$81,048"
Mabie,Plumas,52,14.3,"$42,662",[7,[7
McArthur,Shasta,308,307.7,"$30,152","$42,935","$44,348"
McClellan Park,Sacramento,"1,103",272.9,"$13,962","$23,977","$24,115"
McClenney Tract,Tulare,6,9.7,"$7,150",[7,[7
McCloud,Siskiyou,"1,111",458.7,"$19,429","$31,071","$50,888"
Macdoel,Siskiyou,111,750.0,"$14,183","$28,500",[7
McFarland,Kern,"12,784","4,791.6","$9,518","$34,750","$33,549"
McGee Creek,Mono,125,31.2,"$93,233","$91,860",[7
McKinleyville,Humboldt,"16,448",790.9,"$25,701","$50,298","$60,833"
McKittrick,Kern,112,42.8,"$20,728","$43,000","$43,500"
McSwain,Merced,"4,531",750.4,"$35,273","$98,519","$106,736"
Madera,Madera,"62,559","3,962.2","$14,460","$42,027","$43,600"
Madera Acres,Madera,"9,653","1,326.0","$18,180","$60,529","$61,056"
Madison,Yolo,526,340.2,"$17,946","$51,875","$53,393"
Mad River,Trinity,398,11.5,"$19,148","$34,907","$46,875"
Magalia,Butte,"11,467",818.2,"$20,818","$39,514","$43,457"
Malaga,Fresno,935,"3,412.4","$10,696","$38,350","$39,800"
Malibu,Los Angeles,"12,830",648.3,"$95,212","$130,432","$169,241"
Mammoth Lakes,Mono,"8,154",327.9,"$27,170","$60,984","$68,750"
Manchester,Mendocino,193,73.7,"$16,462","$29,118","$26,691"
Manhattan Beach,Los Angeles,"35,534","9,025.7","$81,787","$142,071","$177,532"
Manila,Humboldt,673,"1,029.1","$22,212","$32,997","$51,094"
Manteca,San Joaquin,"70,693","3,440.6","$23,806","$62,032","$67,043"
Manton,Tehama,341,19.3,"$23,833","$31,250","$34,750"
March ARB,Riverside,"1,129",94.5,"$41,980","$68,261","$104,013"
Maricopa,Kern,"1,158",771.0,"$17,853","$33,750","$43,646"
Marina,Monterey,"20,198","2,273.8","$24,773","$53,828","$63,477"
Marina del Rey,Los Angeles,"9,157","10,647.7","$71,023","$101,860","$105,762"
Marin City,Marin,"2,958","5,508.4","$25,543","$39,872","$41,917"
Mariposa,Mariposa,"1,524",501.8,"$18,842","$34,881","$41,422"
Markleeville,Alpine,268,41.0,"$33,723","$70,511","$71,591"
Martell,Amador,94,40.2,"$28,057","$13,508",[7
Martinez,Contra Costa,"36,876","2,919.5","$39,701","$85,736","$100,577"
Marysville,Yuba,"12,144","3,505.8","$18,146","$34,942","$45,274"
Matheny,Tulare,"1,098","2,565.4","$14,644","$31,208","$31,250"
Mather,Sacramento,"4,806",479.4,"$30,130","$86,705","$88,452"
Maxwell,Colusa,"1,076",500.5,"$19,794","$44,625","$55,833"
Mayfair,Fresno,"4,512","8,710.4","$14,620","$40,625","$47,278"
Mayflower Village,Los Angeles,"5,779","8,411.9","$30,295","$72,034","$83,885"
Maywood,Los Angeles,"27,703","23,517.0","$11,656","$36,492","$37,342"
Meadowbrook,Riverside,"3,447",502.5,"$13,817","$34,815","$36,964"
Meadow Valley,Plumas,435,51.1,"$33,823","$51,944","$85,500"
Meadow Vista,Placer,"3,072",581.7,"$37,474","$71,007","$87,026"
Mead Valley,Riverside,"19,851","1,034.1","$14,010","$41,962","$44,475"
Mecca,Riverside,"8,912","1,280.6","$8,504","$26,473","$27,265"
Meiners Oaks,Ventura,"3,634","2,581.0","$29,168","$70,430","$81,154"
Mendocino,Mendocino,826,366.0,"$42,196","$51,917","$104,732"
Mendota,Fresno,"11,360","3,446.6","$8,642","$25,229","$26,250"
Menifee,Riverside,"81,658","1,757.1","$23,165","$56,671","$64,431"
Menlo Park,San Mateo,"32,792","3,354.7","$69,802","$115,650","$156,439"
Mentone,San Bernardino,"9,388","1,524.0","$23,376","$55,682","$62,476"
Merced,Merced,"80,490","3,465.5","$17,623","$38,917","$43,809"
Meridian,Sutter,438,82.7,"$28,966","$50,000","$82,692"
Mesa,Inyo,442,126.2,"$37,789","$82,266","$97,500"
Mesa Verde,Riverside,"1,004",231.2,"$13,468","$37,891","$34,583"
Mesa Vista,Alpine,212,43.5,"$25,200","$61,364","$79,063"
Mettler,Kern,88,377.7,"$15,591","$42,917","$51,250"
Mexican Colony,Kern,216,"6,750.0","$7,247","$17,375","$15,500"
Middletown,Lake,"1,073",581.9,"$29,725","$48,965","$100,625"
Midpines,Mariposa,689,28.1,"$36,067","$41,063","$40,469"
Midway City,Orange,"9,104","15,023.1","$18,658","$45,581","$51,882"
Milford,Lassen,116,21.9,"$42,773","$64,961","$64,961"
Millbrae,San Mateo,"22,177","6,823.7","$43,518","$91,846","$106,051"
Mill Valley,Marin,"14,178","2,976.7","$87,627","$132,192","$167,061"
Millville,Shasta,861,107.0,"$26,947","$59,375","$66,818"
Milpitas,Santa Clara,"69,346","5,106.1","$34,237","$99,072","$102,005"
Mineral,Tehama,222,5.0,"$32,623","$52,500","$70,000"
Minkler,Fresno,"1,066",181.8,"$36,435","$81,339","$128,482"
Mira Monte,Ventura,"7,306","1,598.7","$39,022","$70,905","$96,250"
Miranda,Humboldt,536,358.8,"$30,378","$50,144","$36,250"
Mission Canyon,Santa Barbara,"2,531","1,668.4","$56,986","$112,717","$128,438"
Mission Hills,Santa Barbara,"3,415","2,778.7","$36,137","$81,250","$84,119"
Mission Viejo,Orange,"95,246","5,403.4","$41,513","$98,157","$110,723"
Mi-Wuk Village,Tuolumne,"1,069",384.8,"$26,306","$49,458","$63,036"
Modesto,Stanislaus,"205,984","4,619.8","$23,034","$47,607","$55,289"
Mohawk Vista,Plumas,109,9.1,"$75,039","$58,500",[7
Mojave,Kern,"4,172",71.6,"$15,847","$34,500","$40,484"
Mokelumne Hill,Calaveras,635,206.2,"$39,304","$62,396","$80,250"
Monmouth,Fresno,184,597.4,"$15,705","$34,500","$44,861"
Mono City,Mono,67,12.4,"$11,106","$31,500",[7
Mono Vista,Tuolumne,"1,979",697.8,"$24,568","$46,250","$49,412"
Monrovia,Los Angeles,"37,035","2,722.2","$34,668","$72,034","$86,034"
Monson,Tulare,191,388.2,"$14,281","$41,667","$83,083"
Montague,Siskiyou,"1,504",845.9,"$20,433","$42,500","$54,545"
Montalvin Manor,Contra Costa,"3,055","9,487.6","$22,652","$64,778","$73,864"
Montara,San Mateo,"2,880",742.7,"$49,203","$147,568","$148,273"
Montclair,San Bernardino,"37,685","6,830.7","$17,881","$48,767","$51,184"
Montebello,Los Angeles,"63,353","7,602.7","$20,972","$47,562","$55,720"
Montecito,Santa Barbara,"9,444","1,010.5","$83,226","$130,129","$160,417"
Monterey,Monterey,"28,053","3,227.5","$36,812","$64,772","$80,615"
Monterey Park,Los Angeles,"60,966","7,950.7","$24,637","$54,821","$60,209"
Monterey Park Tract,Stanislaus,273,"5,808.5","$13,645","$90,134",[7
Monte Rio,Sonoma,"1,031",541.5,"$27,032","$33,681","$63,854"
Monte Sereno,Santa Clara,"3,462","2,117.4","$105,597","$187,115","$238,606"
Montgomery Creek,Shasta,123,37.8,"$27,628","$62,708","$62,917"
Monument Hills,Yolo,"1,469",364.7,"$47,489","$112,344","$112,422"
Moorpark,Ventura,"35,033","2,785.0","$37,016","$99,353","$108,628"
Morada,San Joaquin,"4,573","1,534.0","$35,079","$61,270","$71,534"
Moraga,Contra Costa,"16,549","1,748.4","$60,576","$132,651","$163,951"
Moreno Valley,Riverside,"198,872","3,878.5","$17,874","$54,229","$55,265"
Morgan Hill,Santa Clara,"39,875","3,127.7","$40,972","$96,232","$108,037"
Morongo Valley,San Bernardino,"3,605",142.9,"$21,607","$32,295","$44,787"
Morro Bay,San Luis Obispo,"10,383","1,957.9","$32,613","$50,914","$66,378"
Moskowite Corner,Napa,172,61.2,"$20,858","$49,286","$53,750"
Moss Beach,San Mateo,"3,435","1,530.7","$42,240","$81,622","$107,083"
Moss Landing,Monterey,200,502.5,"$17,855","$30,500","$37,857"
Mountain Center,Riverside,75,39.8,"$10,727",[7,[7
Mountain Gate,Shasta,"1,153",582.6,"$18,037","$33,906","$53,750"
Mountain House,San Joaquin,"12,088","3,785.8","$29,092","$106,119","$108,750"
Mountain Mesa,Kern,454,546.3,"$18,583","$38,250","$39,313"
Mountain Ranch,Calaveras,"1,369",33.2,"$27,714","$38,630","$57,243"
Mountain View,Contra Costa,"2,299","7,927.6","$27,903","$43,077","$38,400"
Mountain View,Santa Clara,"76,741","6,398.8","$56,156","$100,028","$119,081"
Mountain View Acres,San Bernardino,"3,502","2,229.2","$18,119","$55,673","$56,521"
Mount Hebron,Siskiyou,88,123.4,"$9,728","$25,368","$26,397"
Mount Hermon,Santa Cruz,"1,027","1,575.2","$31,268","$48,549","$65,893"
Mount Laguna,San Diego,12,7.1,[7,[7,[7
Mount Shasta,Siskiyou,"3,331",884.5,"$31,179","$43,969","$66,667"
Muir Beach,Marin,292,592.3,"$86,269","$161,458","$178,333"
Murphys,Calaveras,"1,884",182.5,"$35,424","$46,885","$62,330"
Murrieta,Riverside,"106,326","3,166.3","$28,719","$74,401","$79,996"
Muscoy,San Bernardino,"11,674","3,714.3","$9,951","$35,660","$37,012"
Myers Flat,Humboldt,57,131.9,[7,[7,[7
Myrtletown,Humboldt,"5,225","2,489.3","$28,725","$61,534","$73,558"
Napa,Napa,"78,511","4,397.1","$31,185","$64,058","$74,981"
National City,San Diego,"59,543","8,180.1","$17,143","$39,517","$42,531"
Needles,San Bernardino,"4,923",159.7,"$19,001","$33,045","$42,031"
Nevada City,Nevada,"3,051","1,394.4","$35,087","$51,685","$51,997"
Newark,Alameda,"43,635","3,144.9","$31,825","$86,521","$91,103"
Newcastle,Placer,"1,409",589.0,"$26,616","$45,865","$71,912"
New Cuyama,Santa Barbara,591,837.1,"$14,149","$34,000","$45,625"
Newell,Modoc,429,178.2,"$6,580","$23,182","$23,466"
Newman,Stanislaus,"10,553","5,239.8","$16,012","$43,722","$46,780"
New Pine Creek,Modoc,84,36.8,"$35,398","$31,023",[7
Newport Beach,Orange,"86,594","3,641.8","$78,012","$107,991","$153,709"
Nicasio,Marin,95,72.8,"$39,938","$96,500","$96,000"
Nice,Lake,"2,156","1,247.7","$20,164","$24,149","$36,325"
Nicolaus,Sutter,205,65.3,"$50,181","$85,625","$100,417"
Niland,Imperial,"1,063","2,644.3","$15,828","$17,461","$27,854"
Nipinnawasee,Madera,729,236.3,"$23,511","$66,397","$66,544"
Nipomo,San Luis Obispo,"17,115","1,152.3","$27,705","$57,185","$68,900"
Norco,Riverside,"27,143","1,970.2","$27,702","$85,142","$96,631"
Nord,Butte,239,113.5,"$18,961","$31,923","$76,250"
Norris Canyon,Contra Costa,"1,227",346.8,"$59,374","$196,726","$205,625"
North Auburn,Placer,"14,011","1,793.8","$25,077","$48,052","$60,637"
North Edwards,Kern,966,75.8,"$21,833","$45,658","$53,241"
North El Monte,Los Angeles,"3,924","9,276.6","$28,164","$69,960","$75,426"
North Fair Oaks,San Mateo,"15,181","12,650.8","$26,426","$63,343","$53,176"
North Gate,Contra Costa,417,633.7,"$52,891","$96,333","$96,250"
North Highlands,Sacramento,"44,899","5,087.7","$17,401","$40,986","$43,243"
North Lakeport,Lake,"2,676",696.0,"$28,998","$52,577","$60,625"
North Richmond,Contra Costa,"3,926","2,788.4","$16,194","$35,288","$45,703"
North San Juan,Nevada,281,116.0,"$14,102","$27,417","$28,250"
North Shore,Riverside,"3,184",284.9,"$9,434","$24,853","$30,147"
North Tustin,Orange,"25,724","3,891.1","$59,863","$123,270","$140,609"
Norwalk,Los Angeles,"106,455","10,964.6","$19,584","$60,523","$63,688"
Novato,Marin,"53,451","1,947.7","$44,724","$76,609","$97,081"
Nubieber,Lassen,15,20.0,"$19,160",[7,[7
Nuevo,Riverside,"7,345","1,084.8","$19,329","$59,464","$64,185"
Oakdale,Stanislaus,"21,260","3,517.0","$24,832","$53,785","$60,861"
Oak Glen,San Bernardino,694,46.7,"$24,589","$66,923","$73,750"
Oak Hills,San Bernardino,"10,308",422.6,"$26,761","$74,257","$82,961"
Oakhurst,Madera,"2,482",413.9,"$21,563","$39,709","$46,484"
Oakland,Alameda,"402,339","7,198.4","$32,566","$52,962","$60,472"
Oakley,Contra Costa,"37,391","2,355.6","$27,993","$78,597","$83,803"
Oak Park,Ventura,"14,512","2,742.8","$57,470","$117,326","$134,178"
Oak Shores,San Luis Obispo,147,29.0,"$61,129","$81,964","$86,364"
Oak View,Ventura,"4,347","2,215.6","$32,723","$72,137","$79,375"
Oakville,Napa,59,43.4,"$9,415",[7,[7
Oasis,Riverside,"5,807",295.8,"$7,512","$24,293","$24,148"
Occidental,Sonoma,"1,155",232.6,"$54,705","$70,172","$86,083"
Oceano,San Luis Obispo,"7,355","4,800.9","$20,725","$48,629","$46,545"
Oceanside,San Diego,"171,400","4,155.0","$27,009","$58,385","$68,203"
Ocotillo,Imperial,221,25.0,"$6,672","$21,397",[7
Oildale,Kern,"33,879","5,185.8","$17,773","$33,818","$35,843"
Ojai,Ventura,"7,558","1,738.3","$35,231","$60,714","$90,000"
Olancha,Inyo,287,36.6,"$26,673","$41,974","$94,583"
Old Fig Garden,Fresno,"5,186","3,139.2","$41,348","$63,358","$78,060"
Old Station,Shasta,52,23.4,"$15,327",[7,[7
Olivehurst,Yuba,"13,928","1,867.0","$15,357","$43,044","$44,394"
Ontario,San Bernardino,"166,892","3,342.3","$18,601","$54,156","$56,017"
Onyx,Kern,599,52.3,"$16,946","$27,991","$29,330"
Orange,Orange,"138,980","5,480.7","$31,330","$77,086","$85,123"
Orange Cove,Fresno,"9,473","5,286.3","$9,734","$27,450","$27,868"
Orangevale,Sacramento,"34,449","2,991.4","$31,241","$65,288","$80,068"
Orcutt,Santa Barbara,"30,266","2,720.5","$32,246","$71,830","$81,016"
Orick,Humboldt,281,59.2,"$34,279","$32,656","$49,583"
Orinda,Contra Costa,"18,390","1,430.8","$84,985","$166,866","$213,021"
Orland,Glenn,"7,451","2,557.0","$16,179","$38,425","$45,858"
Orosi,Tulare,"8,620","3,524.1","$10,342","$34,464","$33,819"
Oroville,Butte,"16,015","1,209.9","$18,777","$36,581","$42,551"
Oroville East,Butte,"8,782",400.4,"$24,851","$52,944","$67,920"
Oxnard,Ventura,"201,744","7,499.5","$20,651","$62,349","$62,165"
Pacheco,Contra Costa,"4,295","5,796.2","$30,011","$48,024","$53,083"
Pacifica,San Mateo,"38,283","3,023.5","$44,886","$96,875","$113,750"
Pacific Grove,Monterey,"15,365","5,376.1","$46,690","$70,230","$93,302"
Pajaro,Monterey,"2,957","3,189.9","$8,779","$29,179","$29,643"
Pajaro Dunes,Santa Cruz,269,105.0,"$59,635","$67,250","$67,000"
Palermo,Butte,"5,419",185.8,"$21,349","$42,371","$55,612"
Palmdale,Los Angeles,"155,810","1,470.4","$19,438","$54,921","$56,351"
Palm Desert,Riverside,"49,953","1,863.3","$39,275","$52,053","$68,893"
Palm Springs,Riverside,"45,827",487.3,"$36,126","$45,497","$55,320"
Palo Alto,Santa Clara,"65,998","2,764.5","$75,257","$126,771","$167,440"
Palo Cedro,Shasta,"1,626",442.0,"$35,654","$81,000","$84,643"
Palos Verdes Estates,Los Angeles,"13,568","2,842.1","$87,408","$171,328","$203,241"
Palo Verde,Imperial,17,28.8,[7,[7,[7
Panorama Heights,Tulare,38,80.0,"$22,153","$22,500","$41,250"
Paradise,Butte,"26,246","1,432.8","$24,573","$41,482","$56,119"
Paradise,Mono,235,54.0,"$35,874","$48,864","$80,000"
Paradise Park,Santa Cruz,542,"1,942.7","$39,762","$62,125","$66,875"
Paramount,Los Angeles,"54,813","11,588.4","$14,168","$43,784","$43,997"
Parklawn,Stanislaus,"1,191","7,174.7","$13,110","$42,105","$43,606"
Parksdale,Madera,"3,114","1,719.5","$8,111","$30,069","$29,604"
Parkway,Sacramento,"14,756","6,102.6","$15,622","$33,959","$34,570"
Parkwood,Madera,"2,879","4,124.6","$10,280","$31,908","$27,438"
Parlier,Fresno,"14,750","6,452.3","$11,039","$31,832","$30,729"
Pasadena,Los Angeles,"139,065","6,050.8","$41,268","$70,845","$88,600"
Pasatiempo,Santa Cruz,"1,016","1,149.3","$98,473","$175,536","$183,457"
Paskenta,Tehama,52,48.1,"$15,448","$36,250","$42,750"
Patterson,Stanislaus,"20,736","3,482.7","$18,774","$54,422","$58,184"
Patterson Tract,Tulare,"2,041","1,411.5","$15,433","$37,688","$39,500"
Patton Village,Lassen,592,178.2,"$26,548","$46,477","$47,386"
Paxton,Plumas,0,0.0,[7,[7,[7
Paynes Creek,Tehama,41,12.0,"$28,341","$44,375","$93,125"
Pearsonville,Inyo,23,5.6,"$26,096",[7,[7
Penngrove,Sonoma,"2,928",727.6,"$49,672","$73,430","$104,271"
Penn Valley,Nevada,"1,599",753.9,"$20,243","$43,750","$58,553"
Penryn,Placer,946,518.4,"$37,080","$80,213","$78,315"
Perris,Riverside,"71,377","2,273.6","$13,516","$48,591","$48,265"
Pescadero,San Mateo,"1,046",259.8,"$24,750","$61,161","$57,656"
Petaluma,Sonoma,"58,912","4,096.2","$35,239","$80,590","$89,400"
Peters,San Joaquin,523,207.0,"$56,941","$116,616","$117,195"
Phelan,San Bernardino,"12,947",215.4,"$22,355","$53,093","$59,804"
Phillipsville,Humboldt,77,107.7,"$27,396","$23,860",[7
Philo,Mendocino,317,155.6,"$11,234","$16,667","$29,333"
Phoenix Lake,Tuolumne,"4,712",427.9,"$34,735","$75,434","$92,652"
Pico Rivera,Los Angeles,"63,698","7,678.2","$18,643","$56,576","$62,987"
Piedmont,Alameda,"10,957","6,445.3","$101,794","$212,222","$247,171"
Pierpoint,Tulare,23,56.4,[7,[7,[7
Pike,Sierra,126,29.2,"$23,885","$35,714","$35,000"
Pine Canyon,Monterey,"2,243",672.4,"$26,633","$46,683","$47,043"
Pine Flat,Tulare,130,111.9,"$26,923","$30,625","$62,143"
Pine Grove,Amador,"1,865",267.7,"$30,314","$48,571","$64,375"
Pine Hills,Humboldt,"3,160",312.3,"$32,080","$52,438","$56,406"
Pine Mountain Club,Kern,"1,890",112.1,"$34,312","$45,911","$57,872"
Pine Mountain Lake,Tuolumne,"2,422",127.7,"$31,321","$51,604","$59,848"
Pine Valley,San Diego,"1,554",217.3,"$35,479","$100,085","$100,557"
Pinole,Contra Costa,"18,754","3,641.6","$34,219","$74,379","$82,679"
Piñon Hills,San Bernardino,"6,654",207.2,"$25,501","$42,210","$57,723"
Pioneer,Amador,"1,237",287.3,"$35,596","$42,614","$75,104"
Piru,Ventura,"2,078",736.9,"$17,001","$46,601","$47,281"
Pismo Beach,San Luis Obispo,"7,789","2,164.2","$37,657","$67,500","$88,041"
Pittsburg,Contra Costa,"65,761","3,826.0","$23,330","$60,376","$64,521"
Pixley,Tulare,"3,769","1,210.3","$9,889","$28,179","$29,702"
Placentia,Orange,"51,860","7,840.9","$30,218","$79,275","$87,403"
Placerville,El Dorado,"10,415","1,792.0","$24,801","$46,199","$59,158"
Plainview,Tulare,858,"2,776.7","$6,873","$25,938","$26,042"
Planada,Merced,"4,465","2,831.3","$13,072","$35,690","$36,056"
Pleasant Hill,Contra Costa,"33,842","4,782.6","$43,580","$81,556","$108,900"
Pleasanton,Alameda,"73,164","2,995.2","$50,972","$123,608","$140,311"
Pleasure Point,Santa Cruz,"6,004","7,973.4","$38,471","$57,462","$60,078"
Plumas Eureka,Plumas,265,66.7,"$56,948","$63,611","$63,472"
Plumas Lake,Yuba,"6,380",760.9,"$24,080","$78,333","$75,400"
Plymouth,Amador,"1,185","1,272.8","$20,681","$44,531","$56,042"
Point Arena,Mendocino,405,300.0,"$18,534","$30,000","$47,500"
Point Reyes Station,Marin,848,234.5,"$39,984","$36,597","$88,098"
Pollock Pines,El Dorado,"6,540",824.9,"$31,164","$49,044","$57,396"
Pomona,Los Angeles,"151,142","6,585.1","$17,041","$48,993","$50,475"
Ponderosa,Tulare,100,123.0,"$61,992",[7,[7
Poplar-Cotton Center,Tulare,"2,764","2,154.3","$9,980","$21,434","$21,500"
Port Costa,Contra Costa,302,"1,911.4","$54,767","$94,018","$88,859"
Porterville,Tulare,"54,949","3,120.7","$17,330","$41,267","$43,657"
Port Hueneme,Ventura,"21,949","4,931.3","$22,352","$52,826","$54,966"
Portola,Plumas,"2,710",501.2,"$21,747","$34,134","$36,375"
Portola Valley,San Mateo,"4,478",492.2,"$152,128","$182,381",[7
Posey,Tulare,8,22.4,"$15,638",[7,[7
Poso Park,Tulare,4,90.9,[7,[7,[7
Potrero,San Diego,693,220.1,"$12,354","$29,554","$37,878"
Potter Valley,Mendocino,509,126.3,"$24,767","$64,500","$91,442"
Poway,San Diego,"49,040","1,254.9","$40,681","$96,315","$109,110"
Prattville,Plumas,12,19.9,[7,[7,[7
Princeton,Colusa,232,126.4,"$29,977","$63,929","$75,938"
Proberta,Tehama,280,195.7,"$24,271","$34,477","$33,727"
Prunedale,Monterey,"18,574",403.3,"$29,138","$72,933","$79,802"
Quartz Hill,Los Angeles,"11,002","2,923.7","$24,681","$53,929","$61,990"
Quincy,Plumas,"1,439",340.8,"$27,394","$46,875","$67,708"
Rackerby,Butte,139,47.1,"$25,837","$48,125","$53,750"
Rail Road Flat,Calaveras,369,11.2,"$20,788","$29,922","$34,145"
Rainbow,San Diego,"1,678",152.0,"$30,720","$54,408","$76,250"
Raisin City,Fresno,232,305.3,"$10,661","$18,750","$12,143"
Ramona,San Diego,"21,578",561.8,"$24,863","$62,919","$69,171"
Rancho Calaveras,Calaveras,"5,736",684.8,"$24,281","$56,607","$62,371"
Rancho Cordova,Sacramento,"67,167","1,927.2","$24,462","$53,563","$58,979"
Rancho Cucamonga,San Bernardino,"170,170","4,268.8","$31,528","$77,061","$88,529"
Rancho Mirage,Riverside,"17,634",720.8,"$62,814","$71,688","$99,677"
Rancho Murieta,Sacramento,"5,804",488.3,"$53,085","$103,750","$116,284"
Rancho Palos Verdes,Los Angeles,"42,282","3,140.1","$57,201","$120,697","$137,506"
Rancho San Diego,San Diego,"21,514","2,472.6","$38,339","$80,591","$92,779"
Rancho Santa Fe,San Diego,"2,838",422.6,"$68,119","$101,250","$132,054"
Rancho Santa Margarita,Orange,"48,758","3,780.6","$42,768","$104,952","$120,863"
Rancho Tehama Reserve,Tehama,"2,300",197.6,"$14,720","$26,046","$23,787"
Randsburg,Kern,128,67.2,"$27,320","$26,813",[7
Red Bluff,Tehama,"14,069","1,860.2","$16,505","$32,393","$37,926"
Red Corral,Amador,"1,601",274.0,"$23,210","$30,431","$65,469"
Redcrest,Humboldt,52,87.0,"$17,604","$28,750","$21,875"
Redding,Shasta,"90,725","1,521.0","$23,893","$43,773","$56,506"
Redlands,San Bernardino,"69,787","1,936.9","$31,745","$67,112","$85,484"
Redondo Beach,Los Angeles,"67,511","10,892.4","$52,775","$103,064","$123,561"
Redway,Humboldt,"1,132",904.9,"$19,209","$37,882","$50,758"
Redwood City,San Mateo,"79,736","4,099.1","$42,063","$81,955","$98,149"
Redwood Valley,Mendocino,"1,814",663.0,"$22,656","$78,340","$72,577"
Reedley,Fresno,"24,858","4,839.0","$16,966","$46,002","$45,891"
Reliez Valley,Contra Costa,"3,677","1,558.7","$77,832","$126,458","$131,161"
Rialto,San Bernardino,"101,367","4,536.9","$16,206","$50,277","$52,595"
Richfield,Tehama,278,496.4,"$25,302","$42,500","$46,000"
Richgrove,Tulare,"3,006","6,650.4","$8,827","$29,792","$29,750"
