Place,County,Population,Population Density,Per_capita_income,median_household_income,median_family_income
Anaheim,Orange,"342,973","6,862.6","$23,990","$59,707","$63,281"
Anchor Bay,Mendocino,254,72.3,"$39,850","$34,191","$85,650"
Anderson,Shasta,"10,066","1,579.7","$17,414","$35,225","$45,599"
Angels,Calaveras,"3,782","1,042.4","$31,306","$55,114","$73,229"
Angwin,Napa,"3,583",742.0,"$21,387","$66,765","$72,813"
Antelope,Sacramento,"47,798","6,993.1","$23,808","$64,122","$68,510"
Antioch,Contra Costa,"105,630","3,728.6","$25,499","$65,770","$73,023"
Anza,Riverside,"2,356",85.4,"$20,347","$39,489","$60,208"
Apple Valley,San Bernardino,"70,561",947.9,"$23,543","$48,337","$54,646"
Aptos,Santa Cruz,"5,872",912.9,"$39,214","$78,929","$91,920"
Aptos Hills-Larkin Valley,Santa Cruz,"1,808",195.5,"$36,420","$74,185","$86,310"
Arbuckle,Colusa,"3,009","1,710.6","$15,611","$47,639","$50,431"
Arcadia,Los Angeles,"57,251","5,240.4","$38,582","$80,147","$93,635"
Arcata,Humboldt,"17,679","1,944.5","$18,681","$30,244","$45,728"
Arden-Arcade,Sacramento,"92,844","5,207.5","$31,469","$45,750","$60,601"
Armona,Kings,"3,531","1,854.5","$11,790","$38,622","$41,711"
Arnold,Calaveras,"2,728",184.5,"$33,988","$58,688","$78,353"
Aromas,"Monterey
San Benito","2,677",565.2,"$30,316","$67,019","$81,080"
Arroyo Grande,San Luis Obispo,"17,536","3,006.3","$32,351","$63,558","$81,883"
Artesia,Los Angeles,"16,698","10,301.0","$21,688","$60,544","$62,485"
Artois,Glenn,194,67.4,"$10,773","$60,096","$60,481"
Arvin,Kern,"20,028","4,156.0","$10,582","$35,359","$34,809"
Ashland,Alameda,"23,360","12,709.5","$18,959","$45,074","$48,571"
Aspen Springs,Mono,54,15.1,"$43,841",[7,[7
Atascadero,San Luis Obispo,"28,792","1,119.7","$32,602","$66,342","$77,998"
Atherton,San Mateo,"7,034","1,398.7","$144,197",[7,[7
Atwater,Merced,"28,686","4,691.9","$18,663","$41,619","$45,281"
Auberry,Fresno,"2,347",122.6,"$24,603","$50,221","$60,066"
Auburn,Placer,"13,690","1,913.6","$36,104","$54,085","$77,027"
Auburn Lake Trails,El Dorado,"3,839",301.6,"$36,145","$93,833","$115,853"
August,San Joaquin,"8,479","6,777.8","$10,941","$28,518","$33,083"
Avalon,Los Angeles,"3,768","1,283.8","$28,545","$54,231","$56,765"
Avenal,Kings,"14,553",749.3,"$7,532","$29,302","$29,932"
Avery,Calaveras,674,149.7,"$21,169","$31,719","$36,667"
Avila Beach,San Luis Obispo,"1,166",194.0,"$43,153","$73,304","$74,821"
Avocado Heights,Los Angeles,"15,432","5,702.9","$22,076","$72,174","$74,382"
Azusa,Los Angeles,"47,420","4,910.9","$18,159","$52,087","$57,131"
Baker,San Bernardino,916,340.8,"$13,559","$36,838","$38,063"
Bakersfield,Kern,"358,700","2,414.7","$23,786","$56,842","$61,994"
Baldwin Park,Los Angeles,"76,411","11,523.3","$15,419","$51,189","$51,599"
Ballard,Santa Barbara,323,273.7,"$65,977","$87,083","$116,250"
Ballico,Merced,333,110.2,"$22,216","$41,250","$73,333"
Bangor,Butte,575,42.8,"$19,272","$39,500","$48,409"
Banning,Riverside,"30,281","1,310.9","$20,246","$39,556","$46,434"
Barstow,San Bernardino,"23,110",559.0,"$18,863","$40,648","$48,977"
Bass Lake,Madera,570,296.0,"$25,752","$36,250","$58,438"
Bay Point,Contra Costa,"21,586","3,280.5","$17,385","$41,749","$42,983"
Bayview,Contra Costa,"2,025","6,639.3","$29,636","$82,431","$95,150"
Bayview,Humboldt,"2,408","3,289.6","$18,175","$26,987","$35,987"
Beale AFB,Yuba,"1,342",132.9,"$16,375","$42,904","$42,684"
Bear Creek,Merced,197,"3,456.1","$11,585","$16,719","$32,800"
Bear Valley,Alpine,43,8.3,"$21,109","$75,179",[7
Bear Valley,Mariposa,201,27.8,"$10,781","$16,042","$11,597"
Bear Valley Springs,Kern,"5,058",121.9,"$38,716","$82,761","$97,212"
Beaumont,Riverside,"39,620","1,279.4","$26,627","$66,775","$75,809"
Beckwourth,Plumas,290,24.8,"$43,100","$52,609","$81,351"
Belden,Plumas,46,75.4,[7,[7,[7
Bell,Los Angeles,"35,896","14,352.7","$12,031","$36,496","$36,390"
Bella Vista,Shasta,"2,717",122.4,"$22,187","$52,041","$57,586"
Bell Canyon,Ventura,"2,289",632.0,"$81,271","$208,508","$215,441"
Bellflower,Los Angeles,"77,521","12,671.0","$20,213","$49,360","$53,023"
Bell Gardens,Los Angeles,"42,712","17,369.7","$11,460","$37,103","$36,739"
Belmont,San Mateo,"26,503","5,730.4","$56,302","$106,287","$142,446"
Belvedere,Marin,"2,036","3,922.9","$119,798","$166,250","$181,833"
Benbow,Humboldt,314,64.3,"$30,828","$47,308","$46,779"
Bend,Tehama,641,219.7,"$33,164","$74,375","$86,964"
Benicia,Solano,"27,450","2,123.1","$43,640","$89,094","$113,235"
Ben Lomond,Santa Cruz,"6,485",775.7,"$36,066","$70,281","$88,986"
Benton,Mono,178,6.2,"$19,566","$26,000","$43,468"
Berkeley,Alameda,"115,688","11,053.7","$42,406","$65,283","$114,720"
Bermuda Dunes,Riverside,"7,719","2,613.1","$35,103","$60,494","$61,940"
Berry Creek,Butte,"1,292",22.6,"$22,781","$41,287","$52,188"
Bertsch-Oceanview,Del Norte,"2,568",468.0,"$17,953","$35,678","$48,269"
Bethel Island,Contra Costa,"2,158",386.5,"$30,388","$36,845","$72,536"
Beverly Hills,Los Angeles,"34,536","6,050.5","$81,788","$87,366","$123,636"
Bieber,Lassen,127,77.6,"$17,413","$42,083","$52,083"
Big Bear City,San Bernardino,"12,563",393.2,"$23,024","$43,404","$50,346"
Big Bear Lake,San Bernardino,"5,104",804.2,"$30,115","$41,058","$47,368"
Big Bend,Shasta,87,15.2,"$17,511","$23,750","$41,750"
Big Creek,Fresno,201,437.0,"$36,270","$82,917","$101,250"
Biggs,Butte,"2,010","3,160.4","$16,624","$40,847","$42,273"
Big Lagoon,Humboldt,142,237.1,"$27,510","$60,179","$92,639"
Big Pine,Inyo,"1,612",545.7,"$26,038","$49,750","$61,563"
Big River,San Bernardino,"1,061",98.0,"$23,785","$23,589","$34,750"
Biola,Fresno,"1,017","1,571.9","$8,090","$26,750","$32,333"
Bishop,Inyo,"3,851","2,066.0","$23,661","$30,395","$65,142"
Blackhawk,Contra Costa,"9,297","1,602.7","$85,049","$167,875","$195,833"
Blacklake,San Luis Obispo,942,901.4,"$48,044","$71,471","$81,917"
Black Point-Green Point,Marin,"1,111",393.0,"$71,770","$117,431","$130,893"
Blairsden,Plumas,35,64.6,"$41,300","$11,250",[7
Bloomfield,Sonoma,373,45.8,"$40,524","$77,955","$122,863"
Bloomington,San Bernardino,"25,228","4,213.8","$14,012","$48,985","$48,091"
Blue Lake,Humboldt,"1,258","2,121.4","$25,209","$45,750","$58,125"
Bluewater,San Bernardino,174,195.1,"$26,989","$40,417","$42,250"
Blythe,Riverside,"20,101",767.5,"$15,835","$46,393","$48,400"
Bodega,Sonoma,156,53.8,"$53,951","$29,688",[7
Bodega Bay,Sonoma,603,72.3,"$72,541","$86,000","$143,333"
Bodfish,Kern,"1,961",246.0,"$16,580","$20,121","$21,861"
Bolinas,Marin,"1,403",240.8,"$50,783","$74,310","$115,741"
Bombay Beach,Imperial,171,181.7,"$22,526","$15,050","$11,875"
Bonadelle Ranchos-Madera Ranchos,Madera,"8,503",730.6,"$29,845","$77,321","$81,735"
Bonita,San Diego,"13,864","2,763.4","$34,407","$87,666","$99,860"
Bonny Doon,Santa Cruz,"2,752",164.9,"$46,896","$88,221","$104,609"
Bonsall,San Diego,"4,138",308.9,"$43,006","$69,399","$81,711"
Boonville,Mendocino,"1,090",196.7,"$14,796","$35,938","$39,632"
Bootjack,Mariposa,959,137.0,"$19,924","$41,683","$54,583"
Boron,Kern,"2,241",162.4,"$15,269","$31,333","$31,534"
Boronda,Monterey,"1,278","2,323.6","$13,117","$42,333","$42,292"
Borrego Springs,San Diego,"2,359",54.8,"$21,464","$36,583","$43,750"
Bostonia,San Diego,"16,460","8,519.7","$19,252","$42,333","$47,347"
Boulder Creek,Santa Cruz,"4,741",631.1,"$43,381","$79,392","$103,583"
Boulevard,San Diego,434,111.1,"$16,235","$12,421","$72,943"
Bowles,Fresno,182,477.7,"$18,409","$31,250","$90,833"
Boyes Hot Springs,Sonoma,"7,664","7,237.0","$26,245","$54,788","$56,331"
Bradbury,Los Angeles,845,431.8,"$76,472","$112,273","$116,667"
Bradley,Monterey,127,"1,476.7","$19,103","$53,333","$73,500"
Brawley,Imperial,"25,478","3,316.6","$17,700","$41,718","$47,344"
Brea,Orange,"40,443","3,316.9","$35,245","$81,857","$98,944"
Brentwood,Contra Costa,"54,062","3,640.3","$33,357","$88,697","$100,925"
Bret Harte,Stanislaus,"4,998","9,103.8","$9,379","$28,279","$31,389"
Bridgeport,Mono,761,35.0,"$28,094","$39,118","$107,896"
Brisbane,San Mateo,"4,421","1,428.0","$40,401","$80,233","$96,477"
Broadmoor,San Mateo,"4,734","10,496.7","$34,328","$100,109","$110,160"
Brookdale,Santa Cruz,"2,204",572.9,"$56,819","$84,451","$104,817"
Brooktrails,Mendocino,"3,589",493.5,"$22,821","$48,097","$51,250"
Buckhorn,Amador,"2,503",426.4,"$24,548","$49,583","$57,595"
Buck Meadows,Mariposa,50,28.7,"$20,440",[7,[7
Bucks Lake,Plumas,14,1.4,[7,[7,[7
Buellton,Santa Barbara,"4,924","3,112.5","$29,597","$59,695","$84,267"
Buena Park,Orange,"82,191","7,809.9","$24,525","$68,884","$72,878"
Buena Vista,Amador,284,175.1,"$21,452","$58,419","$49,083"
Burbank,Los Angeles,"104,484","6,025.3","$33,882","$66,111","$82,063"
Burbank,Santa Clara,"5,869","14,563.3","$28,373","$64,592","$65,588"
Burlingame,San Mateo,"29,618","6,723.7","$61,062","$90,890","$132,210"
Burney,Shasta,"3,172",610.5,"$19,176","$38,214","$43,346"
Burnt Ranch,Trinity,308,23.0,"$25,077","$55,500","$59,028"
Butte Creek Canyon,Butte,805,39.3,"$47,737","$75,417","$81,875"
Butte Meadows,Butte,34,15.9,[7,[7,[7
Butte Valley,Butte,603,33.0,"$26,612","$52,734","$52,813"
Buttonwillow,Kern,"1,371",197.9,"$13,690","$34,274","$32,647"
Byron,Contra Costa,"1,305",201.1,"$29,962","$75,673","$60,250"
Bystrom,Stanislaus,"3,805","5,359.2","$11,583","$25,543","$30,474"
Cabazon,Riverside,"3,266",671.2,"$12,032","$40,144","$33,551"
Calabasas,Los Angeles,"23,956","1,747.8","$60,703","$117,176","$136,724"
Calexico,Imperial,"39,281","4,550.6","$12,960","$35,233","$40,218"
California City,Kern,"13,243",65.1,"$22,908","$57,660","$61,581"
California Hot Springs,Tulare,74,98.9,"$23,838","$41,250","$83,750"
California Pines,Modoc,367,49.4,"$16,074","$41,518","$74,236"
Calimesa,Riverside,"8,143",548.5,"$24,981","$42,392","$61,319"
Calipatria,Imperial,"7,599","2,044.9","$10,352","$30,911","$32,135"
Calistoga,Napa,"5,244","2,018.5","$33,280","$52,131","$83,889"
Callender,San Luis Obispo,"1,537",672.4,"$29,647","$75,200","$77,936"
Calpella,Mendocino,424,167.1,"$22,521","$44,000","$54,038"
Calpine,Sierra,189,266.2,"$32,869","$25,938","$126,000"
Calwa,Fresno,"1,330","2,131.4","$6,559","$18,625","$14,219"
Camanche North Shore,Amador,947,406.1,"$33,000","$77,375","$83,276"
Camanche Village,Amador,840,154.5,"$29,831","$86,176","$103,214"
Camarillo,Ventura,"65,985","3,378.3","$39,689","$87,120","$102,201"
Cambria,San Luis Obispo,"6,246",734.1,"$40,857","$62,948","$82,656"
Cambrian Park,Santa Clara,"3,318","5,567.1","$46,468","$101,406","$112,500"
Cameron Park,El Dorado,"18,831","1,695.4","$35,469","$74,690","$86,690"
Camino,El Dorado,"1,833",814.7,"$35,973","$72,383","$81,477"
Camino Tassajara,Contra Costa,"1,789","1,404.2","$64,980","$142,371","$155,948"
Campbell,Santa Clara,"40,327","6,948.1","$44,769","$91,269","$103,539"
Camp Nelson,Tulare,100,80.8,"$46,972","$84,107","$84,107"
Campo,San Diego,"3,031",129.1,"$28,810","$59,294","$75,272"
Camp Pendleton North,San Diego,"6,436",726.9,"$17,566","$37,075","$37,075"
Camp Pendleton South,San Diego,"12,691","3,243.3","$15,779","$43,742","$43,568"
Camptonville,Yuba,150,175.6,"$21,369","$28,750","$47,917"
Canby,Modoc,693,305.6,"$11,576","$41,932","$41,932"
Cantua Creek,Fresno,440,115.9,"$9,890","$31,181","$31,181"
Canyondam,Plumas,78,100.5,"$18,027",[7,[7
Canyon Lake,Riverside,"10,810","2,764.0","$34,925","$74,682","$79,561"
Capitola,Santa Cruz,"10,043","6,304.5","$37,940","$56,607","$81,133"
Caribou,Plumas,0,0.0,[7,[7,[7
Carlsbad,San Diego,"109,296","2,897.0","$44,305","$87,416","$106,924"
Carmel-by-the-Sea,Monterey,"3,807","3,525.0","$45,928","$62,460","$92,750"
Carmel Valley Village,Monterey,"4,321",227.6,"$55,560","$95,444","$115,333"
Carmet,Sonoma,14,48.8,[7,[7,[7
Carmichael,Sacramento,"63,314","4,680.2","$32,665","$54,598","$70,783"
Carnelian Bay,Placer,463,356.4,"$36,276","$72,083","$91,389"
Carpinteria,Santa Barbara,"13,323","5,152.0","$33,331","$65,467","$76,311"
Carrick,Siskiyou,66,"1,118.6","$12,639",[7,[7
Carson,Los Angeles,"92,475","4,939.1","$23,622","$71,420","$76,997"
Cartago,Inyo,38,32.5,"$32,953","$46,016",[7
Caruthers,Fresno,"3,338","1,650.0","$13,785","$44,375","$44,898"
Casa Conejo,Ventura,"3,699","7,836.9","$28,694","$89,432","$100,125"
Casa de Oro-Mount Helix,San Diego,"21,076","3,076.8","$37,682","$75,637","$96,717"
Casmalia,Santa Barbara,114,606.4,"$20,635","$47,031","$45,938"
Caspar,Mendocino,599,200.2,"$28,594","$50,000","$75,104"
Cassel,Shasta,349,172.3,"$27,611","$34,600","$33,450"
Castaic,Los Angeles,"18,619","2,563.9","$35,715","$105,523","$110,130"
Castle Hill,Contra Costa,"1,223","1,682.3","$54,105","$113,952","$124,167"
Castro Valley,Alameda,"62,363","3,725.4","$38,897","$83,442","$97,572"
